Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
United States,2020,1,2020-01-04,60182,55024,846,11568,1828,2531,1560,3503,1066,1094,659,14204,3109,1,1,,,,,,,,,,,,,,,
United States,2020,2,2020-01-11,60720,55735,865,11961,1941,2565,1530,3707,1036,1093,662,13908,3185,0,0,,,,,,,,,,,,,,,
United States,2020,3,2020-01-18,59359,54522,830,11703,1819,2490,1486,3527,993,1123,642,13590,3257,3,2,,,,,,,,,,,,,,,
United States,2020,4,2020-01-25,59151,54401,829,11880,1861,2516,1487,3400,978,1109,673,13605,3181,1,1,,,,,,,,,,,,,,,
United States,2020,5,2020-02-01,58821,54005,813,11961,1828,2477,1418,3313,980,1072,648,13460,3080,0,0,,,,,,,,,,,,,,,
United States,2020,6,2020-02-08,59464,54403,812,11705,1954,2513,1463,3412,973,1136,634,13998,3054,2,1,,,,,,,,,,,,,,,
United States,2020,7,2020-02-15,58799,53962,798,11808,1842,2535,1515,3479,978,1070,645,13635,3086,0,0,,,,,,,,,,,,,,,
United States,2020,8,2020-02-22,58885,53981,782,11779,1878,2515,1462,3451,967,1056,641,13624,3082,5,5,,,,,,,,,,,,,,,
United States,2020,9,2020-02-29,59311,54302,819,11790,1829,2519,1507,3458,1011,1092,709,13702,3124,9,9,,,,,,,,,,,,,,,
United States,2020,10,2020-03-07,59681,54385,813,11714,1860,2508,1610,3467,1004,1072,691,13676,3093,37,33,,,,,,,,,,,,,,,
United States,2020,11,2020-03-14,58663,53533,759,11572,1742,2440,1638,3388,991,1077,689,13431,3165,57,53,,,,,,,,,,,,,,,
United States,2020,12,2020-03-21,59202,54299,844,11738,1832,2511,1748,3382,1018,1104,659,13183,3065,575,538,,,,,,,,,,,,,,,
United States,2020,13,2020-03-28,63020,58237,854,11782,2045,2746,1794,3518,1064,1030,672,13711,3063,3184,3006,,,,,,,,,,,,,,,
United States,2020,14,2020-04-04,72277,67433,951,11595,2297,2868,1867,3537,1030,1036,745,14945,3163,10081,9587,,,,,,,,,,,,,,,
United States,2020,15,2020-04-11,79103,74021,837,11555,2354,2961,1636,3448,1027,1123,719,15766,3192,16253,15448,,,,,,,,,,,,,,,
United States,2020,16,2020-04-18,76783,71891,749,11203,2268,2901,1257,3192,928,1097,717,14577,3205,17118,16223,,,,,,,,,,,,,,,
United States,2020,17,2020-04-25,73894,68754,740,11362,2084,2803,1156,2996,892,986,734,13870,3059,15496,14607,,,,,,,,,,,,,,,
United States,2020,18,2020-05-02,69285,63949,744,11098,1930,2726,1015,2926,853,962,616,12996,3042,13190,12406,,,,,,,,,,,,,,,
United States,2020,19,2020-05-09,66806,61188,722,11013,1968,2494,866,2802,862,939,657,13173,2850,11215,10440,,,,,,,,,,,,,,,
United States,2020,20,2020-05-16,64455,58999,682,11268,1964,2431,865,2770,788,978,630,12732,2959,9201,8457,,,,,,,,,,,,,,,
United States,2020,21,2020-05-23,61602,56019,715,11115,1834,2417,808,2679,750,921,642,12768,2822,7217,6560,,,,,,,,,,,,,,,
United States,2020,22,2020-05-30,59653,54007,655,10903,1810,2262,758,2635,762,892,647,12447,2854,6154,5571,,,,,,,,,,,,,,,
United States,2020,23,2020-06-06,58865,52949,733,11079,1723,2302,707,2562,779,906,633,12462,2792,5026,4489,,,,,,,,,,,,,,,
United States,2020,24,2020-06-13,58007,52305,693,11129,1740,2329,701,2503,738,925,669,12400,2840,4222,3717,,,,,,,,,,,,,,,
United States,2020,25,2020-06-20,57966,52245,685,11153,1787,2359,755,2561,764,932,719,12385,2922,3828,3342,,,,,,,,,,,,,,,
United States,2020,26,2020-06-27,58484,52675,723,11356,1766,2286,728,2537,775,952,662,12513,2954,3815,3306,,,,,,,,,,,,,,,
United States,2020,27,2020-07-04,59786,53821,687,11297,1926,2355,659,2624,780,987,703,12848,2828,4523,4028,,,,,,,,,,,,,,,
United States,2020,28,2020-07-11,61903,55892,766,11322,1952,2469,740,2611,753,919,800,13007,2920,5758,5214,,,,,,,,,,,,,,,
United States,2020,29,2020-07-18,63145,57218,714,11373,1886,2498,768,2647,711,987,816,12861,2982,7163,6502,,,,,,,,,,,,,,,
United States,2020,30,2020-07-25,64204,58435,692,11556,1954,2510,785,2559,732,968,806,12916,2910,8206,7485,,,,,,,,,,,,,,,
United States,2020,31,2020-08-01,64180,58318,694,11510,1983,2500,760,2732,781,961,788,12799,2987,8279,7591,,,,,,,,,,,,,,,
United States,2020,32,2020-08-08,63677,57906,790,11527,1793,2434,779,2591,730,913,842,12792,3033,7833,7157,,,,,,,,,,,,,,,
United States,2020,33,2020-08-15,63600,57824,740,11700,1890,2526,760,2655,798,970,814,12822,2948,7222,6531,,,,,,,,,,,,,,,
United States,2020,34,2020-08-22,62510,56673,740,11509,1931,2563,698,2640,784,968,788,12743,2929,6351,5729,,,,,,,,,,,,,,,
United States,2020,35,2020-08-29,61069,55414,726,11575,1876,2430,680,2561,743,984,798,12457,2988,5711,5121,,,,,,,,,,,,,,,
United States,2020,36,2020-09-05,60200,54317,708,11370,1834,2503,736,2547,798,928,746,12488,2861,4992,4412,,,,,,,,,,,,,,,
United States,2020,37,2020-09-12,59595,53979,700,11461,1887,2327,683,2557,746,927,767,12328,3043,4603,4065,,,,,,,,,,,,,,,
United States,2020,38,2020-09-19,59661,54173,751,11621,1852,2371,720,2515,782,922,793,12654,2946,4243,3739,,,,,,,,,,,,,,,
United States,2020,39,2020-09-26,60542,55109,766,11861,1836,2494,726,2667,790,926,763,12682,3074,4270,3765,,,,,,,,,,,,,,,
United States,2020,40,2020-10-03,59648,54102,725,11397,1888,2411,766,2574,717,940,856,12590,2870,4209,3667,,,,,,,,,,,,,,,
United States,2020,41,2020-10-10,61516,55829,761,11773,1891,2510,718,2606,797,956,848,12733,3106,4770,4239,,,,,,,,,,,,,,,
United States,2020,42,2020-10-17,60149,54913,772,11243,1814,2519,725,2577,812,1015,861,12451,3004,5122,4531,,,,,,,,,,,,,,,
United States,2020,43,2020-10-24,61668,56539,730,11585,1810,2552,766,2667,787,934,857,12735,3042,5914,5261,,,,,,,,,,,,,,,
United States,2020,44,2020-10-31,62904,57778,699,11437,1915,2439,796,2549,823,924,857,13018,3072,6927,6173,,,,,,,,,,,,,,,
United States,2020,45,2020-11-07,67152,61626,769,11742,1943,2639,806,2876,811,1028,1038,13545,3142,8672,7773,,,,,,,,,,,,,,,
United States,2020,46,2020-11-14,68333,63049,793,11640,2006,2719,846,2732,852,1026,982,13332,3151,10521,9478,,,,,,,,,,,,,,,
United States,2020,47,2020-11-21,70748,65701,811,11494,2086,2623,836,2784,853,1018,1096,13387,3153,13196,11938,,,,,,,,,,,,,,,
United States,2020,48,2020-11-28,72402,67408,762,11236,2117,2738,808,2714,847,1035,1153,13315,3086,15430,13971,,,,,,,,,,,,,,,
United States,2020,49,2020-12-05,75819,70863,834,11097,2132,2777,903,2769,894,1000,1236,13933,3225,18260,16603,,,,,,,,,,,,,,,
United States,2020,50,2020-12-12,79896,74904,798,11561,2217,2873,925,2946,954,1058,1381,14035,3370,20471,18677,,,,,,,,,,,,,,,
United States,2020,51,2020-12-19,80555,75772,807,11455,2252,2956,929,2846,891,982,1391,14228,3347,21772,19934,,,,,,,,,,,,,,,
United States,2020,52,2020-12-26,81606,76685,837,11301,2238,2897,944,2754,899,1079,1506,14206,3270,22697,20769,,,,,,,,,,,,,,,
United States,2020,53,2021-01-02,83720,78754,858,11243,2319,2956,993,2928,878,1061,1706,14534,3359,23905,21902,,,,,,,,,,,,,,,
United States,2021,1,2021-01-09,82814,78324,822,10833,2222,2828,994,2816,897,1102,2050,14156,3218,24623,22711,,,,,,,,,,,,,,,
United States,2021,2,2021-01-16,82408,78075,770,11294,2271,2824,969,2751,910,1157,2177,13909,3347,24066,22049,,,,,,,,,,,,,,,
United States,2021,3,2021-01-23,78573,74511,773,10994,2002,2771,901,2643,860,1123,2287,13523,3269,21986,20131,,,,,,,,,,,,,,,
United States,2021,4,2021-01-30,74407,70489,734,11085,1986,2521,879,2619,900,1083,2329,13131,3119,18963,17213,,,,,,,,,,,,,,,
United States,2021,5,2021-02-06,71480,67624,765,10937,1880,2437,807,2685,875,1056,2724,13163,3122,15835,14216,,,,,,,,,,,,,,,
United States,2021,6,2021-02-13,66128,62656,766,10798,1855,2267,799,2434,841,1023,2834,12531,3128,12367,10995,,,,,,,,,,,,,,,
United States,2021,7,2021-02-20,63423,60285,746,10595,2002,2322,795,2455,803,975,3032,12575,2945,9807,8652,,,,,,,,,,,,,,,
United States,2021,8,2021-02-27,59342,56258,775,10481,1684,2286,706,2351,795,958,3090,11697,2890,7656,6672,,,,,,,,,,,,,,,
United States,2021,9,2021-03-06,53725,51144,661,9831,1571,2037,698,2200,705,915,3192,10774,2724,5704,4962,,,,,,,,,,,,,,,
United States,2021,10,2021-03-13,47052,45230,608,8916,1373,1872,604,2074,670,782,3086,9767,2431,4377,3718,,,,,,,,,,,,,,,
United States,2021,11,2021-03-20,38613,37358,427,7424,1135,1596,518,1740,573,672,3007,7974,2048,3166,2753,,,,,,,,,,,,,,,
United States,2021,12,2021-03-27,31578,30682,325,6189,856,1344,305,1515,477,541,2437,6752,1678,2349,2046,,,,,,,,,,,,,,,
Alabama,2020,1,2020-01-04,1081,1008,15,196,25,54,28,86,13,25,25,268,81,0,0,,,,,,,,,,,,,,,
Alabama,2020,2,2020-01-11,1127,1060,25,197,17,41,27,72,20,23,34,274,68,0,0,,,,,,,,,,,,,,,
Alabama,2020,3,2020-01-18,1039,976,28,201,24,53,31,73,21,23,24,239,45,0,0,,,,,,,,,,,,,,,
Alabama,2020,4,2020-01-25,1056,982,16,190,23,54,29,61,11,14,23,286,70,0,0,,,,,,,,,,,,,,,
Alabama,2020,5,2020-02-01,1026,949,15,157,16,58,31,76,17,20,23,265,55,0,0,,,,,,,,,,,,,,,
Alabama,2020,6,2020-02-08,1120,1028,26,191,24,45,28,70,20,24,27,304,52,0,0,,,,,,,,,,,,,,,
Alabama,2020,7,2020-02-15,1095,1020,17,193,24,50,35,74,23,18,26,255,81,0,0,,,,,,,,,,,,,,,
Alabama,2020,8,2020-02-22,1098,1018,17,222,29,47,25,65,12,12,15,285,74,0,0,,,,,,,,,,,,,,,
Alabama,2020,9,2020-02-29,1164,1093,21,212,28,62,31,88,20,21,25,294,60,,,,,,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Alabama,2020,10,2020-03-07,1057,953,18,144,25,65,34,60,24,23,22,265,57,0,0,,,,,,,,,,,,,,,
Alabama,2020,11,2020-03-14,1091,1013,16,199,31,65,30,75,28,27,20,265,69,0,0,,,,,,,,,,,,,,,
Alabama,2020,12,2020-03-21,1059,986,17,227,25,46,26,67,24,22,16,263,72,,,,,,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Alabama,2020,13,2020-03-28,1073,990,15,188,23,67,26,75,24,15,22,244,69,23,20,,,,,,,,,,,,,,,
Alabama,2020,14,2020-04-04,1156,1077,27,202,34,74,23,67,24,22,25,258,68,49,45,,,,,,,,,,,,,,,
Alabama,2020,15,2020-04-11,1135,1054,25,166,31,63,18,61,20,17,28,267,64,81,77,,,,,,,,,,,,,,,
Alabama,2020,16,2020-04-18,1148,1053,20,183,35,62,18,67,21,17,19,249,62,89,85,,,,,,,,,,,,,,,
Alabama,2020,17,2020-04-25,1139,1038,20,200,28,55,25,53,12,17,13,265,63,83,77,,,,,,,,,,,,,,,
Alabama,2020,18,2020-05-02,1147,1049,17,197,22,57,26,67,19,24,11,272,62,81,75,,,,,,,,,,,,,,,
Alabama,2020,19,2020-05-09,1171,1084,17,201,28,45,12,58,18,15,22,305,53,116,105,,,,,,,,,,,,,,,
Alabama,2020,20,2020-05-16,1148,1050,19,203,29,47,15,71,17,21,23,260,49,94,88,,,,,,,,,,,,,,,
Alabama,2020,21,2020-05-23,1152,1054,22,194,22,62,18,53,16,21,24,281,54,79,76,,,,,,,,,,,,,,,
Alabama,2020,22,2020-05-30,1109,999,23,161,29,53,21,52,14,15,23,242,47,103,99,,,,,,,,,,,,,,,
Alabama,2020,23,2020-06-06,1173,1071,27,212,20,48,17,62,19,15,15,290,55,90,85,,,,,,,,,,,,,,,
Alabama,2020,24,2020-06-13,1138,1031,14,176,23,53,11,65,17,24,19,280,58,81,75,,,,,,,,,,,,,,,
Alabama,2020,25,2020-06-20,1089,1006,29,198,22,48,12,62,16,17,25,256,54,88,81,,,,,,,,,,,,,,,
Alabama,2020,26,2020-06-27,1151,1064,12,222,23,60,16,55,15,17,19,267,67,102,94,,,,,,,,,,,,,,,
Alabama,2020,27,2020-07-04,1200,1109,14,221,30,59,13,60,,18,25,297,49,122,116,,,,,,,,,Suppressed (counts 1-9),,,,,,
Alabama,2020,28,2020-07-11,1265,1177,17,217,31,63,12,64,14,19,23,305,72,134,121,,,,,,,,,,,,,,,
Alabama,2020,29,2020-07-18,1289,1201,23,203,24,68,22,71,17,19,25,275,66,191,171,,,,,,,,,,,,,,,
Alabama,2020,30,2020-07-25,1332,1255,21,212,28,65,16,69,10,20,23,285,78,250,240,,,,,,,,,,,,,,,
Alabama,2020,31,2020-08-01,1364,1268,15,198,23,56,25,74,21,20,15,312,71,262,237,,,,,,,,,,,,,,,
Alabama,2020,32,2020-08-08,1377,1286,15,177,32,40,21,76,14,17,28,290,70,262,251,,,,,,,,,,,,,,,
Alabama,2020,33,2020-08-15,1304,1205,,166,26,60,20,68,21,15,25,291,73,228,213,,,Suppressed (counts 1-9),,,,,,,,,,,,
Alabama,2020,34,2020-08-22,1303,1220,16,193,22,55,17,58,13,21,26,294,76,208,196,,,,,,,,,,,,,,,
Alabama,2020,35,2020-08-29,1216,1129,19,192,24,55,17,62,19,20,22,250,56,183,173,,,,,,,,,,,,,,,
Alabama,2020,36,2020-09-05,1213,1129,22,211,24,61,14,65,12,15,12,259,60,154,141,,,,,,,,,,,,,,,
Alabama,2020,37,2020-09-12,1232,1148,17,198,28,66,12,59,19,23,21,296,49,137,129,,,,,,,,,,,,,,,
Alabama,2020,38,2020-09-19,1200,1131,18,226,20,57,17,69,22,20,15,256,62,137,133,,,,,,,,,,,,,,,
Alabama,2020,39,2020-09-26,1182,1108,21,204,34,65,20,62,13,15,24,260,58,105,100,,,,,,,,,,,,,,,
Alabama,2020,40,2020-10-03,1101,1009,14,181,28,47,20,55,11,20,10,260,47,108,98,,,,,,,,,,,,,,,
Alabama,2020,41,2020-10-10,1203,1123,15,189,27,58,18,63,21,21,24,303,62,135,125,,,,,,,,,,,,,,,
Alabama,2020,42,2020-10-17,1188,1116,20,198,28,60,12,59,19,21,23,260,69,125,111,,,,,,,,,,,,,,,
Alabama,2020,43,2020-10-24,1141,1057,18,200,16,55,20,54,16,19,17,277,47,117,111,,,,,,,,,,,,,,,
Alabama,2020,44,2020-10-31,1165,1089,21,187,23,62,23,47,23,12,22,276,59,131,119,,,,,,,,,,,,,,,
Alabama,2020,45,2020-11-07,1271,1180,15,215,27,54,14,53,19,23,23,297,65,149,139,,,,,,,,,,,,,,,
Alabama,2020,46,2020-11-14,1269,1191,17,209,27,64,13,62,19,24,26,292,58,171,161,,,,,,,,,,,,,,,
Alabama,2020,47,2020-11-21,1274,1176,12,195,28,69,18,58,13,27,25,265,61,165,152,,,,,,,,,,,,,,,
Alabama,2020,48,2020-11-28,1326,1239,24,206,26,57,17,64,14,27,28,290,55,201,185,,,,,,,,,,,,,,,
Alabama,2020,49,2020-12-05,1352,1259,31,177,32,63,14,65,30,14,28,300,65,244,234,,,,,,,,,,,,,,,
Alabama,2020,50,2020-12-12,1598,1511,21,228,47,83,21,56,23,24,28,300,71,373,358,,,,,,,,,,,,,,,
Alabama,2020,51,2020-12-19,1581,1486,13,196,31,71,30,70,17,26,35,307,71,386,359,,,,,,,,,,,,,,,
Alabama,2020,52,2020-12-26,1620,1548,23,195,46,74,16,66,24,25,27,327,59,447,420,,,,,,,,,,,,,,,
Alabama,2020,53,2021-01-02,1792,1702,23,199,35,79,21,69,26,26,50,323,77,502,475,,,,,,,,,,,,,,,
Alabama,2021,1,2021-01-09,1782,1697,21,224,34,70,21,78,27,25,48,332,61,535,516,,,,,,,,,,,,,,,
Alabama,2021,2,2021-01-16,1784,1711,16,212,44,65,24,62,21,25,43,332,63,579,555,,,,,,,,,,,,,,,
Alabama,2021,3,2021-01-23,1754,1667,17,190,37,64,20,62,28,33,43,330,64,556,528,,,,,,,,,,,,,,,
Alabama,2021,4,2021-01-30,1609,1546,20,204,34,64,20,74,24,22,36,309,62,476,448,,,,,,,,,,,,,,,
Alabama,2021,5,2021-02-06,1466,1384,22,210,22,65,23,67,21,21,41,288,61,337,324,,,,,,,,,,,,,,,
Alabama,2021,6,2021-02-13,1363,1288,20,192,27,65,13,65,25,21,31,305,73,253,239,,,,,,,,,,,,,,,
Alabama,2021,7,2021-02-20,1277,1224,29,191,34,61,20,43,26,18,39,304,59,201,182,,,,,,,,,,,,,,,
Alabama,2021,8,2021-02-27,1225,1158,21,177,16,56,21,55,15,15,36,300,74,157,139,,,,,,,,,,,,,,,
Alabama,2021,9,2021-03-06,1021,960,18,184,17,46,21,40,27,23,33,229,52,93,80,,,,,,,,,,,,,,,
Alabama,2021,10,2021-03-13,946,907,,144,20,40,19,57,14,21,38,218,45,77,70,,,Suppressed (counts 1-9),,,,,,,,,,,,
Alabama,2021,11,2021-03-20,699,677,14,110,14,48,15,37,17,17,27,160,31,52,48,,,,,,,,,,,,,,,
Alabama,2021,12,2021-03-27,576,555,13,76,19,26,10,32,16,11,16,156,53,31,28,,,,,,,,,,,,,,,
Alaska,2020,1,2020-01-04,89,71,,16,,,0,,0,,0,17,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Alaska,2020,2,2020-01-11,105,93,,22,,,0,,,,0,24,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Alaska,2020,3,2020-01-18,99,83,,21,,,0,,,,0,15,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Alaska,2020,4,2020-01-25,97,82,,21,,,0,,0,,,18,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2020,5,2020-02-01,85,74,,17,,,,,,0,,20,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2020,6,2020-02-08,92,75,0,15,,,,,,,,22,,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2020,7,2020-02-15,89,74,,20,,,0,,,,0,19,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Alaska,2020,8,2020-02-22,83,64,,16,,,,,,0,,,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Alaska,2020,9,2020-02-29,84,76,,18,,0,,,,,,14,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2020,10,2020-03-07,79,68,,20,0,,,,,,0,15,,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Alaska,2020,11,2020-03-14,92,80,,20,,0,,,,0,,22,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2020,12,2020-03-21,69,56,0,,,,,,,,,10,,0,0,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2020,13,2020-03-28,85,74,,16,,,,,,,0,15,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
Alaska,2020,14,2020-04-04,98,84,,21,,,,,,0,0,14,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
Alaska,2020,15,2020-04-11,84,71,,15,,,,,,,,20,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
Alaska,2020,16,2020-04-18,80,71,0,17,,,,,0,,0,13,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
Alaska,2020,17,2020-04-25,61,55,,12,0,,,,,,0,12,0,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Alaska,2020,18,2020-05-02,87,78,,17,,,,,,0,,18,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2020,19,2020-05-09,89,77,,20,,,,,,0,0,13,,,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),
Alaska,2020,20,2020-05-16,83,68,0,18,,0,,,0,,,20,,0,0,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2020,21,2020-05-23,82,68,0,19,,,0,,0,0,0,17,,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),,
Alaska,2020,22,2020-05-30,97,82,,23,,,0,,0,,,18,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2020,23,2020-06-06,79,66,0,16,,,,,,0,,19,,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2020,24,2020-06-13,88,71,,19,,,,,,0,0,16,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
Alaska,2020,25,2020-06-20,92,74,0,28,0,,,,0,,,15,,0,0,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2020,26,2020-06-27,90,67,0,16,,,,,,0,,15,,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2020,27,2020-07-04,84,64,,16,,,0,,0,,,17,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
Alaska,2020,28,2020-07-11,101,83,,20,,,0,,0,,,19,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
Alaska,2020,29,2020-07-18,89,72,0,20,,,0,,0,,,12,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
Alaska,2020,30,2020-07-25,92,75,0,20,,,,,0,,,18,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
Alaska,2020,31,2020-08-01,114,83,0,17,,,0,,,,,17,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
