Last,First,Middle,Suffix,Nickname,Born,Death,Sex,Position,Party,State,District,Start,End,Religion,Race,Educational Attainment,JobType1,JobType2,JobType3,JobType4,JobType5,Mil1,Mil2,Mil3
Abbitt,Watkins,Moorman,,,05/21/1908,12/19/1951,M,U.S. Representative,Democrat,VA,4,02/17/1948,01/03/1973,Baptist,White,Professional degree,Law,,,,,Did not serve,,
Abernethy,Thomas,Gerstle,,,05/16/1903,01/23/1953,M,U.S. Representative,Democrat,MS,1,01/03/1953,01/03/1973,Methodist,White,Professional degree,Law,,,,,Did not serve,,
Adair,Edwin,Ross,,,12/14/1907,05/05/1983,M,U.S. Representative,Republican,IN,4,01/03/1951,01/03/1972,Methodist,White,Professional degree,Public service/politics,,,,,Army,,
Adams,Brockman,,,Brock,01/13/1927,09/10/2004,M,U.S. Representative,Democrat,WA,7,01/03/1965,01/22/1977,Episcopalian,White,Professional degree,Acting/entertainer,Education,Law,,,Navy,,
Addabbo,Joseph,Patrick,,,03/17/1925,04/10/1986,M,U.S. Representative,Democrat,NY,7,01/09/1963,01/03/1983,Roman Catholic,White,Professional degree,Law,,,,,Did not serve,,
Aiken,George,David,,,08/20/1892,11/19/1984,M,U.S. Senator,Republican,VT,,01/03/1945,01/03/1979,Protestant,White,High School graduate,Agriculture,Misc.,,,,Did not serve,,
Albert,Carl,Bert,,,05/10/1908,02/04/2000,M,U.S. Representative,Democrat,OK,3,01/03/1947,01/03/1977,Methodist,White,Professional degree,Law,,,,,Army,,
Allott,Gordon,Llewellyn,,,01/02/1907,01/17/1989,M,U.S. Senator,Republican,CO,,01/05/1955,01/03/1973,Episcopalian,White,Professional degree,Law,,,,,Army Air Corps,,
Anderson,Clinton,Presba,,,10/23/1895,11/11/1975,M,U.S. Senator,Democrat,NM,,01/03/1949,01/03/1973,Presbyterian,White,Unknown,Agriculture,Business or banking,Journalism,,,Did not serve,,
Anderson,John,Bayard,,,02/15/1922,12/03/2017,M,U.S. Representative,Republican,IL,16,01/03/1961,01/03/1981,Evangelical,White,Professional degree,Law,,,,,Army,,
Anderson,William,Robert,,,06/17/1921,,M,U.S. Representative,Democrat,TN,6,01/04/1965,01/03/1973,Protestant,White,Bachelor's degree,Military,,,,,Navy,,
Andrews,Arthur,Glenn,,,01/15/1909,09/25/2008,M,U.S. Representative,Republican,AL,4,01/04/1965,01/03/1967,Episcopalian,White,Bachelor's degree,Business or banking,,,,,Did not serve,,
Andrews,George,William,,,12/12/1906,12/25/1971,M,U.S. Representative,Democrat,AL,3,01/04/1965,12/25/1971,Baptist,White,Professional degree,Law,,,,,Navy Reserve,,
Andrews,Mark,,,,05/19/1926,,M,U.S. Representative,Republican,ND,1,10/22/1963,01/03/1973,Episcopalian,White,Bachelor's degree,Agriculture,,,,,Army,,
Annunzio,Frank,,,,01/12/1915,04/08/2001,M,U.S. Representative,Democrat,IL,7,01/04/1965,01/03/1973,Roman Catholic,White,Bachelor's degree,Education,Labor leader,,,,Did not serve,,
Arends,Leslie,Cornelius,,,09/27/1895,07/17/1985,M,U.S. Representative,Republican,IL,17,01/03/1945,01/02/1973,Methodist,White,High School graduate,Agriculture,Business or banking,,,,Navy,,
Ashbrook,John,Milan,,,09/21/1928,04/24/1982,M,U.S. Representative,Republican,OH,17,01/03/1961,04/24/1982,Baptist,White,Professional degree,Journalism,Law,,,,Navy,,
Ashley,Thomas,William Ludlow,,,01/11/1923,,M,U.S. Representative,Democrat,OH,9,01/05/1955,01/03/1981,Episcopalian,White,Professional degree,Law,,,,,Army,,
Ashmore,Robert,Thomas,,,02/22/1904,10/04/1989,M,U.S. Representative,Democrat,SC,4,06/15/1953,01/03/1969,Baptist,White,Professional degree,Law,,,,,Army,Reserve,
Aspinall,Wayne,Norviel,,,04/03/1896,10/09/1983,M,U.S. Representative,Democrat,CO,4,01/03/1949,01/03/1973,Methodist,White,Professional degree,Education,Law,,,,Army,,
Ayres,William,Hanes,,,02/05/1916,12/20/2000,M,U.S. Representative,Republican,OH,14,01/03/1951,01/03/1972,Methodist,White,Bachelor's degree,Business or banking,,,,,Army,,
Baldwin,John,Finley,Jr.,,06/28/1915,03/09/1966,M,U.S. Representative,Republican,CA,14,01/09/1963,03/09/1966,Presbyterian,White,Professional degree,Law,,,,,Army,,
Bandstra,Bert,Andrew,,,01/25/1922,10/23/1995,M,U.S. Representative,Democrat,IA,4,01/04/1965,01/03/1967,Christian Reformed,White,Professional degree,Congressional Aide,Law,,,,Navy,,
Baring,Walter,Stephen,,,09/09/1911,07/13/1975,M,U.S. Representative,Democrat,NV,AL,01/03/1957,01/03/1973,Protestant,White,Bachelor's degree,Business or banking,,,,,Navy,,
Barrett,William,A.,,,08/14/1896,04/12/1976,M,U.S. Representative,Democrat,PA,1,01/03/1949,04/12/1976,Roman Catholic,White,Bachelor's degree,Business or banking,Real Estate,,,,Did not serve,,
Bartlett,Edward,Lewis,,Bob,04/20/1904,12/11/1968,M,U.S. Senator,Democrat,AK,,01/07/1959,12/11/1968,Protestant,White,High School graduate,Journalism,,,,,Did not serve,,
Bass,Ross,,,,03/17/1918,01/01/1993,M,U.S. Senator,Democrat,TN,,11/04/1964,01/02/1967,Methodist,White,Bachelor's degree,Business or banking,,,,,Army,,
Bates,William,Henry,,,04/26/1917,06/22/1969,M,U.S. Representative,Republican,MA,6,02/14/1950,06/22/1969,Roman Catholic,White,Master's degree,Public service/politics,,,,,Navy,,
Battin,James,Franklin,,,02/13/1925,09/27/1996,M,U.S. Representative,Republican,MT,2,01/03/1961,02/27/1969,Congregationalist,White,Professional degree,Law,Public service/politics,,,,Navy,,
Bayh,Birch,Evan,,,01/22/1928,,M,U.S. Senator,Democrat,IN,,01/09/1963,01/03/1981,Methodist,White,Professional degree,Agriculture,Law,,,,Army,,
Beckworth,Lindley,Gary,,,06/30/1913,03/09/1984,M,U.S. Representative,Democrat,TX,3,01/03/1945,01/03/1967,Baptist,White,Professional degree,Education,Law,,,,Did not serve,,
Belcher,Page,Henry,,,04/21/1899,08/02/1980,M,U.S. Representative,Republican,OK,1,01/03/1953,01/03/1973,Methodist,White,Professional degree,Law,,,,,World War I veteran,,
Bell,Alphonzo,,,,09/19/1914,04/25/2004,M,U.S. Representative,Republican,CA,28,01/09/1963,01/03/1975,Presbyterian,White,Bachelor's degree,Agriculture,Business or banking,Real Estate,,,Army,,
Bennett,Charles,Edward,,,12/02/1910,09/06/2003,M,U.S. Representative,Democrat,FL,2,01/03/1949,01/03/1967,Disciples of Christ,White,Professional degree,Law,Public service/politics,,,,Army,,
Bennett,Wallace,Foster,,,11/13/1898,12/19/1993,M,U.S. Senator,Republican,UT,,01/03/1951,01/03/1975,Mormon,White,Bachelor's degree,Business or banking,,,,,Army,,
Berry,Ellis,Yarnal,,,10/06/1902,04/01/1999,M,U.S. Representative,Republican,SD,2,01/03/1951,01/03/1972,Congregationalist,White,Professional degree,Journalism,Law,Public service/politics,,,Did not serve,,
Betts,Jackson,E.,,,05/26/1904,08/13/1993,M,U.S. Representative,Republican,OH,8,01/03/1951,01/03/1973,Episcopalian,White,Professional degree,Law,,,,,Did not serve,,
Bible,Alan,Harvey,,,11/20/1909,09/12/1988,M,U.S. Senator,Democrat,NV,,12/02/1954,01/03/1975,Methodist,White,Professional degree,Law,,,,,Did not serve,,
