Last,First,Middle,Suffix,Nickname,Born,Death,Sex,Position,Party,State,District,Start,End,Religion,Race,Educational Attainment,JobType1,JobType2,JobType3,JobType4,JobType5,Mil1,Mil2,Mil3
Abdnor,James,,,,02/13/1923,11/06/1952,M,U.S. Representative,Republican,SD,2,01/03/1973,01/03/1981,Methodist,White,Bachelor's degree,Agriculture,,,,,Army,,
Abourezk,James,George,,,02/24/1931,,M,U.S. Senator,Democrat,SD,,01/03/1973,01/03/1983,Eastern Orthodox,White,Professional degree,Law,,,,,Navy,,
Abzug,Bella,S.,,,07/24/1920,03/31/1998,F,U.S. Representative,Democrat,NY,20,01/03/1973,01/03/1977,Jewish,White,Professional degree,Law,,,,,Did not serve,,
Adams,Brockman,,,Brock,01/13/1927,09/10/2004,M,U.S. Representative,Democrat,WA,7,01/03/1965,01/22/1977,Episcopalian,White,Professional degree,Acting/entertainer,Education,Law,,,Navy,,
Addabbo,Joseph,Patrick,,,03/17/1925,04/10/1986,M,U.S. Representative,Democrat,NY,7,01/09/1963,01/03/1983,Roman Catholic,White,Professional degree,Law,,,,,Did not serve,,
Agnew,Spiro,Theodore,,,11/09/1918,09/17/1996,M,U.S. Vice President,Republican,,,01/03/1969,10/10/1973,Not specified,White,High School graduate,Law,,,,,Did not serve,,
Aiken,George,David,,,08/20/1892,11/19/1984,M,U.S. Senator,Republican,VT,,01/03/1945,01/03/1979,Protestant,White,High School graduate,Agriculture,Misc.,,,,Did not serve,,
Albert,Carl,Bert,,,05/10/1908,02/04/2000,M,U.S. Representative,Democrat,OK,3,01/03/1947,01/03/1977,Methodist,White,Professional degree,Law,,,,,Army,,
Alexander,William,Vollie,Jr.,Bill,01/16/1934,,M,U.S. Representative,Democrat,AR,1,01/03/1969,01/03/1993,Episcopalian,White,Professional degree,Law,,,,,Army,,
Allen,Clifford,R.,,,01/06/1912,06/18/1978,M,U.S. Representative,Democrat,TN,5,01/01/1975,01/03/1979,Methodist,White,Professional degree,Law,Public service/politics,,,,Did not serve,,
Allen,James,Browning,,,12/28/1912,06/01/1978,M,U.S. Senator,Democrat,AL,,01/03/1969,06/01/1978,Church of Christ,White,Professional degree,Law,,,,,Navy Reserve,,
Anderson,Glenn,M.,,,02/21/1913,12/13/1994,M,U.S. Representative,Democrat,CA,35,01/03/1973,01/03/1975,Episcopalian,White,Bachelor's degree,Business or banking,Construction/building trades,,,,Army,,
Anderson,John,Bayard,,,02/15/1922,12/03/2017,M,U.S. Representative,Republican,IL,16,01/03/1961,01/03/1981,Evangelical,White,Professional degree,Law,,,,,Army,,
Andrews,Mark,,,,05/19/1926,,M,U.S. Representative,Republican,ND,AL,01/03/1973,01/03/1981,Episcopalian,White,Bachelor's degree,Agriculture,,,,,Army,,
Annunzio,Frank,,,,01/12/1915,04/08/2001,M,U.S. Representative,Democrat,IL,11,01/03/1973,01/03/1993,Roman Catholic,White,Bachelor's degree,Education,Labor leader,,,,Did not serve,,
Archer,William,Reynolds,,Bill,03/22/1928,,M,U.S. Representative,Republican,TX,7,01/21/1971,01/03/2003,Roman Catholic,White,Professional degree,Agriculture,Law,,,,Air Force,,
Arends,Leslie,Cornelius,,,09/27/1895,07/17/1985,M,U.S. Representative,Republican,IL,15,01/03/1973,01/03/1975,Methodist,White,High School graduate,Agriculture,Business or banking,,,,Navy,,
Armstrong,William,Lester,,,03/16/1937,07/05/2016,M,U.S. Representative,Republican,CO,5,01/03/1973,01/03/1979,Lutheran,White,High School graduate,Business or banking,,,,,Army National Guard,,
Ashbrook,John,Milan,,,09/21/1928,04/24/1982,M,U.S. Representative,Republican,OH,17,01/03/1961,04/24/1982,Baptist,White,Professional degree,Journalism,Law,,,,Navy,,
Ashley,Thomas,William Ludlow,,,01/11/1923,,M,U.S. Representative,Democrat,OH,9,01/05/1955,01/03/1981,Episcopalian,White,Professional degree,Law,,,,,Army,,
Aspin,Les,,,,07/21/1938,05/21/1995,M,U.S. Representative,Democrat,WI,1,01/21/1971,01/20/1993,Episcopalian,White,Doctorate degree,Education,,,,,Army,,
Badillo,Herman,,,,08/21/1929,,M,U.S. Representative,Democrat,NY,21,01/21/1971,01/03/1979,Protestant,Hispanic,Doctorate degree,Education,Law,Public service/politics,,,Did not serve,,
Bafalis,Louis,Arthur,,,09/28/1929,,M,U.S. Representative,Republican,FL,10,01/03/1973,01/03/1983,Christian,White,Bachelor's degree,Public service/politics,,,,,Army,,
Baker,LaMar,,,,12/29/1915,06/20/2003,M,U.S. Representative,Republican,TN,3,01/21/1971,01/03/1975,Church of Christ,White,Bachelor's degree,Business or banking,,,,,Army Air Corps,,
Barrett,William,A.,,,08/14/1896,04/12/1976,M,U.S. Representative,Democrat,PA,1,01/03/1949,04/12/1976,Roman Catholic,White,Bachelor's degree,Business or banking,Real Estate,,,,Did not serve,,
Bartlett,Dewey,Follett,,,03/28/1919,03/01/1979,M,U.S. Senator,Republican,OK,,01/03/1973,01/03/1979,Roman Catholic,White,Bachelor's degree,Agriculture,,,,,Marine Air Corps,,
Bauman,Robert,Edmund,,,04/04/1937,,M,U.S. Representative,Republican,MD,1,09/05/1973,01/03/1981,Roman Catholic,White,Professional degree,Congressional Aide,Law,,,,Did not serve,,
Bayh,Birch,Evan,,,01/22/1928,,M,U.S. Senator,Democrat,IN,,01/09/1963,01/03/1981,Methodist,White,Professional degree,Agriculture,Law,,,,Army,,
Beall,John,Glenn,Jr.,,06/19/1927,03/24/2006,M,U.S. Senator,Republican,MD,,01/21/1971,01/03/1977,Presbyterian,White,Bachelor's degree,Business or banking,,,,,Navy,,
Beard,Robin,Leo,Jr.,,08/21/1939,,M,U.S. Representative,Republican,TN,6,01/03/1973,01/03/1983,Methodist,White,Bachelor's degree,Public service/politics,,,,,Marine Corps,,
Bell,Alphonzo,,,,09/19/1914,04/25/2004,M,U.S. Representative,Republican,CA,28,01/09/1963,01/03/1975,Presbyterian,White,Bachelor's degree,Agriculture,Business or banking,Real Estate,,,Army,,
Bellmon,Henry,Louis,,,09/03/1921,,M,U.S. Senator,Republican,OK,,01/03/1969,01/03/1981,Presbyterian,White,Bachelor's degree,Agriculture,Public service/politics,,,,Marine Corps,,
Bennett,Charles,Edward,,,12/02/1910,09/06/2003,M,U.S. Representative,Democrat,FL,3,01/10/1967,01/03/1993,Disciples of Christ,White,Professional degree,Law,Public service/politics,,,,Army,,
Bennett,Wallace,Foster,,,11/13/1898,12/19/1993,M,U.S. Senator,Republican,UT,,01/03/1951,01/03/1975,Mormon,White,Bachelor's degree,Business or banking,,,,,Army,,
Bentsen,Lloyd,Millard,Jr.,,02/11/1921,05/23/2006,M,U.S. Senator,Democrat,TX,,01/21/1971,01/20/1993,Presbyterian,White,Professional degree,Business or banking,Law,,,,Air Force Reserve,Army Air Corps,Army Air Corps
Bergland,Bob,Selmer,,,07/22/1928,,M,U.S. Representative,Democrat,MN,7,01/21/1971,01/03/1977,Lutheran,White,Associate degree,Agriculture,,,,,Did not serve,,
Bevill,Tom,,,,03/27/1921,03/28/2005,M,U.S. Representative,Democrat,AL,4,01/03/1973,01/03/1997,Baptist,White,Professional degree,Law,,,,,Army,,
Biaggi,Mario,,,,10/26/1917,06/24/2015,M,U.S. Representative,Democrat,NY,10,01/03/1973,01/03/1983,Roman Catholic,White,Professional degree,Law,Law Enforcement,,,,Did not serve,,
Bible,Alan,Harvey,,,11/20/1909,09/12/1988,M,U.S. Senator,Democrat,NV,,12/02/1954,01/03/1975,Methodist,White,Professional degree,Law,,,,,Did not serve,,
Biden,Joseph,Robinette,Jr.,Joe,11/20/1942,,M,U.S. Senator,Democrat,DE,,01/03/1973,01/15/2009,Roman Catholic,White,Professional degree,Law,,,,,Did not serve,,
Biester,Edward,George,Jr.,,01/05/1931,,M,U.S. Representative,Republican,PA,8,01/10/1967,01/03/1977,United Church of Christ,White,Professional degree,Law,,,,,Did not serve,,
Bingham,Jonathan,Brewster,,,04/24/1914,07/03/1986,M,U.S. Representative,Democrat,NY,22,01/03/1973,01/03/1983,United Church of Christ,White,Professional degree,Law,Public service/politics,,,,Army,,
Blackburn,Benjamin,Bentley,,,02/14/1927,,M,U.S. Representative,Republican,GA,4,01/10/1967,01/03/1975,Episcopalian,White,Professional degree,Law,,,,,Navy,,
Blatnik,John,Anton,,,08/17/1911,12/17/1991,M,U.S. Representative,Democrat,MN,8,01/03/1947,01/03/1975,Roman Catholic,White,Bachelor's degree,Education,,,,,Army,,
Boggs,Thomas,Hale,Sr.,,02/15/1914,01/03/1973,M,U.S. Representative,Democrat,LA,2,01/03/1947,01/03/1973,Roman Catholic,White,Bachelor's degree,Law,,,,,Navy Reserve,,
Boland,Edward,Patrick,,,10/01/1911,11/04/2001,M,U.S. Representative,Democrat,MA,2,01/03/1953,01/03/1989,Roman Catholic,White,Professional degree,Public service/politics,,,,,Army,,
Bolling,Richard,Walker,,,05/17/1916,04/21/1991,M,U.S. Representative,Democrat,MO,5,01/03/1949,01/03/1983,Episcopalian,White,Master's degree,Acting/entertainer,Education,,,,Army,,
Bowen,David,Reece,,,10/21/1932,,M,U.S. Representative,Democrat,MS,2,01/03/1973,01/03/1983,Baptist,White,Master's degree,Education,,,,,Army,,
Brasco,Frank,James,,,10/15/1932,10/19/1998,M,U.S. Representative,Democrat,NY,11,01/10/1967,01/03/1975,Roman Catholic,White,Professional degree,Law,,,,,Army Reserve,,
Bray,William,Gilmer,,,06/17/1903,06/04/1979,M,U.S. Representative,Republican,IN,6,01/10/1967,01/03/1975,Quaker,White,Professional degree,Law,,,,,Army,,
Breaux,John,B.,,,03/01/1944,,M,U.S. Representative,Democrat,LA,7,09/30/1972,01/03/1987,Roman Catholic,White,Professional degree,Congressional Aide,Law,,,,Did not serve,,
Breckinridge,John,Bayne,,,11/29/1913,07/29/1979,M,U.S. Representative,Democrat,KY,6,01/03/1973,01/03/1979,Presbyterian,White,Professional degree,Law,,,,,Army,,
Brinkley,Jack,Thomas,,,12/22/1930,,M,U.S. Representative,Democrat,GA,3,01/10/1967,01/03/1983,Baptist,White,Professional degree,Education,Law,,,,Air Force,,
