Last,First,Middle,Suffix,Nickname,Born,Death,Sex,Position,Party,State,District,Start,End,Religion,Race,Educational Attainment,JobType1,JobType2,JobType3,JobType4,JobType5,Mil1,Mil2,Mil3
Abbitt,Watkins,Moorman,,,05/21/1908,12/19/1951,M,U.S. Representative,Democrat,VA,4,02/17/1948,01/03/1973,Baptist,White,Professional degree,Law,,,,,Did not serve,,
Abernethy,Thomas,Gerstle,,,05/16/1903,01/23/1953,M,U.S. Representative,Democrat,MS,1,01/03/1953,01/03/1973,Methodist,White,Professional degree,Law,,,,,Did not serve,,
Abourezk,James,George,,,02/24/1931,,M,U.S. Representative,Democrat,SD,2,01/21/1971,01/03/1973,Eastern Orthodox,White,Professional degree,Law,,,,,Navy,,
Abzug,Bella,S.,,,07/24/1920,03/31/1998,F,U.S. Representative,Democrat,NY,19,01/21/1971,01/02/1973,Jewish,White,Professional degree,Law,,,,,Did not serve,,
Adair,Edwin,Ross,,,12/14/1907,05/05/1983,M,U.S. Representative,Republican,IN,4,01/03/1951,01/03/1972,Methodist,White,Professional degree,Public service/politics,,,,,Army,,
Adams,Brockman,,,Brock,01/13/1927,09/10/2004,M,U.S. Representative,Democrat,WA,7,01/03/1965,01/22/1977,Episcopalian,White,Professional degree,Acting/entertainer,Education,Law,,,Navy,,
Addabbo,Joseph,Patrick,,,03/17/1925,04/10/1986,M,U.S. Representative,Democrat,NY,7,01/09/1963,01/03/1983,Roman Catholic,White,Professional degree,Law,,,,,Did not serve,,
Agnew,Spiro,Theodore,,,11/09/1918,09/17/1996,M,U.S. Vice President,Republican,,,01/03/1969,10/10/1973,Not specified,White,High School graduate,Law,,,,,Did not serve,,
Aiken,George,David,,,08/20/1892,11/19/1984,M,U.S. Senator,Republican,VT,,01/03/1945,01/03/1979,Protestant,White,High School graduate,Agriculture,Misc.,,,,Did not serve,,
Albert,Carl,Bert,,,05/10/1908,02/04/2000,M,U.S. Representative,Democrat,OK,3,01/03/1947,01/03/1977,Methodist,White,Professional degree,Law,,,,,Army,,
Alexander,William,Vollie,Jr.,Bill,01/16/1934,,M,U.S. Representative,Democrat,AR,1,01/03/1969,01/03/1993,Episcopalian,White,Professional degree,Law,,,,,Army,,
Allen,James,Browning,,,12/28/1912,06/01/1978,M,U.S. Senator,Democrat,AL,,01/03/1969,06/01/1978,Church of Christ,White,Professional degree,Law,,,,,Navy Reserve,,
Allott,Gordon,Llewellyn,,,01/02/1907,01/17/1989,M,U.S. Senator,Republican,CO,,01/05/1955,01/03/1973,Episcopalian,White,Professional degree,Law,,,,,Army Air Corps,,
Anderson,Clinton,Presba,,,10/23/1895,11/11/1975,M,U.S. Senator,Democrat,NM,,01/03/1949,01/03/1973,Presbyterian,White,Unknown,Agriculture,Business or banking,Journalism,,,Did not serve,,
Anderson,Glenn,M.,,,02/21/1913,12/13/1994,M,U.S. Representative,Democrat,CA,17,01/03/1969,01/03/1973,Episcopalian,White,Bachelor's degree,Business or banking,Construction/building trades,,,,Army,,
Anderson,John,Bayard,,,02/15/1922,12/03/2017,M,U.S. Representative,Republican,IL,16,01/03/1961,01/03/1981,Evangelical,White,Professional degree,Law,,,,,Army,,
Anderson,William,Robert,,,06/17/1921,,M,U.S. Representative,Democrat,TN,6,01/04/1965,01/03/1973,Protestant,White,Bachelor's degree,Military,,,,,Navy,,
Andrews,Elizabeth,Bullock,,,02/12/1911,12/02/2002,F,U.S. Representative,Democrat,AL,3,04/04/1972,01/03/1973,Baptist,White,Bachelor's degree,Misc.,,,,,Did not serve,,
Andrews,George,William,,,12/12/1906,12/25/1971,M,U.S. Representative,Democrat,AL,3,01/04/1965,12/25/1971,Baptist,White,Professional degree,Law,,,,,Navy Reserve,,
Andrews,Mark,,,,05/19/1926,,M,U.S. Representative,Republican,ND,1,10/22/1963,01/03/1973,Episcopalian,White,Bachelor's degree,Agriculture,,,,,Army,,
Annunzio,Frank,,,,01/12/1915,04/08/2001,M,U.S. Representative,Democrat,IL,7,01/04/1965,01/03/1973,Roman Catholic,White,Bachelor's degree,Education,Labor leader,,,,Did not serve,,
Archer,William,Reynolds,,Bill,03/22/1928,,M,U.S. Representative,Republican,TX,7,01/21/1971,01/03/2003,Roman Catholic,White,Professional degree,Agriculture,Law,,,,Air Force,,
Arends,Leslie,Cornelius,,,09/27/1895,07/17/1985,M,U.S. Representative,Republican,IL,17,01/03/1945,01/02/1973,Methodist,White,High School graduate,Agriculture,Business or banking,,,,Navy,,
Ashbrook,John,Milan,,,09/21/1928,04/24/1982,M,U.S. Representative,Republican,OH,17,01/03/1961,04/24/1982,Baptist,White,Professional degree,Journalism,Law,,,,Navy,,
Ashley,Thomas,William Ludlow,,,01/11/1923,,M,U.S. Representative,Democrat,OH,9,01/05/1955,01/03/1981,Episcopalian,White,Professional degree,Law,,,,,Army,,
Aspin,Les,,,,07/21/1938,05/21/1995,M,U.S. Representative,Democrat,WI,1,01/21/1971,01/20/1993,Episcopalian,White,Doctorate degree,Education,,,,,Army,,
Aspinall,Wayne,Norviel,,,04/03/1896,10/09/1983,M,U.S. Representative,Democrat,CO,4,01/03/1949,01/03/1973,Methodist,White,Professional degree,Education,Law,,,,Army,,
Ayres,William,Hanes,,,02/05/1916,12/20/2000,M,U.S. Representative,Republican,OH,14,01/03/1951,01/03/1972,Methodist,White,Bachelor's degree,Business or banking,,,,,Army,,
Badillo,Herman,,,,08/21/1929,,M,U.S. Representative,Democrat,NY,21,01/21/1971,01/03/1979,Protestant,Hispanic,Doctorate degree,Education,Law,Public service/politics,,,Did not serve,,
Baker,LaMar,,,,12/29/1915,06/20/2003,M,U.S. Representative,Republican,TN,3,01/21/1971,01/03/1975,Church of Christ,White,Bachelor's degree,Business or banking,,,,,Army Air Corps,,
Baring,Walter,Stephen,,,09/09/1911,07/13/1975,M,U.S. Representative,Democrat,NV,AL,01/03/1957,01/03/1973,Protestant,White,Bachelor's degree,Business or banking,,,,,Navy,,
Barrett,William,A.,,,08/14/1896,04/12/1976,M,U.S. Representative,Democrat,PA,1,01/03/1949,04/12/1976,Roman Catholic,White,Bachelor's degree,Business or banking,Real Estate,,,,Did not serve,,
Bayh,Birch,Evan,,,01/22/1928,,M,U.S. Senator,Democrat,IN,,01/09/1963,01/03/1981,Methodist,White,Professional degree,Agriculture,Law,,,,Army,,
Beall,John,Glenn,Jr.,,06/19/1927,03/24/2006,M,U.S. Representative,Republican,MD,6,01/03/1969,01/03/1972,Presbyterian,White,Bachelor's degree,Business or banking,,,,,Navy,,
Beall,John,Glenn,Jr.,,06/19/1927,03/24/2006,M,U.S. Senator,Republican,MD,,01/21/1971,01/03/1977,Presbyterian,White,Bachelor's degree,Business or banking,,,,,Navy,,
Begich,Nicholas,J.,,,04/06/1932,12/29/1972,M,U.S. Representative,Democrat,AK,AL,01/03/1971,12/29/1972,Roman Catholic,White,Doctorate degree,Construction/building trades,Education,,,,Did not serve,,
Belcher,Page,Henry,,,04/21/1899,08/02/1980,M,U.S. Representative,Republican,OK,1,01/03/1953,01/03/1973,Methodist,White,Professional degree,Law,,,,,World War I veteran,,
Bell,Alphonzo,,,,09/19/1914,04/25/2004,M,U.S. Representative,Republican,CA,28,01/09/1963,01/03/1975,Presbyterian,White,Bachelor's degree,Agriculture,Business or banking,Real Estate,,,Army,,
