Last,First,Middle,Suffix,Nickname,Born,Death,Sex,Position,Party,State,District,Start,End,Religion,Race,Educational Attainment,JobType1,JobType2,JobType3,JobType4,JobType5,Mil1,Mil2,Mil3
Abdnor,James,,,,02/13/1923,11/06/1952,M,U.S. Senator,Republican,SD,,01/05/1981,01/03/1987,Methodist,White,Bachelor's degree,Agriculture,,,,,Army,,
Abourezk,James,George,,,02/24/1931,,M,U.S. Senator,Democrat,SD,,01/03/1973,01/03/1983,Eastern Orthodox,White,Professional degree,Law,,,,,Navy,,
Ackerman,Gary,L.,,,11/19/1942,,M,U.S. Representative,Democrat,NY,7,01/01/1983,01/04/1993,Jewish,White,Bachelor's degree,Business or banking,Education,Journalism,,,Did not serve,,
Addabbo,Joseph,Patrick,,,03/17/1925,04/10/1986,M,U.S. Representative,Democrat,NY,7,01/09/1963,01/03/1983,Roman Catholic,White,Professional degree,Law,,,,,Did not serve,,
Akaka,Daniel,Kahikina,,,09/11/1924,04/06/2018,M,U.S. Representative,Democrat,HI,2,01/04/1977,05/16/1990,Congregationalist,Asian American,Master's degree,Education,Public service/politics,,,,Army,,
Alexander,William,Vollie,Jr.,Bill,01/16/1934,,M,U.S. Representative,Democrat,AR,1,01/03/1969,01/03/1993,Episcopalian,White,Professional degree,Law,,,,,Army,,
Anderson,Glenn,M.,,,02/21/1913,12/13/1994,M,U.S. Representative,Democrat,CA,32,01/14/1975,01/03/1993,Episcopalian,White,Bachelor's degree,Business or banking,Construction/building trades,,,,Army,,
Andrews,Mark,,,,05/19/1926,,M,U.S. Senator,Republican,ND,,01/05/1981,01/03/1991,Episcopalian,White,Bachelor's degree,Agriculture,,,,,Army,,
Annunzio,Frank,,,,01/12/1915,04/08/2001,M,U.S. Representative,Democrat,IL,11,01/03/1973,01/03/1993,Roman Catholic,White,Bachelor's degree,Education,Labor leader,,,,Did not serve,,
Anthony,Beryl,Franklin,,,02/21/1938,,M,U.S. Representative,Democrat,AR,4,01/15/1979,01/03/1993,Episcopalian,White,Bachelor's degree,Law,,,,,Did not serve,,
Applegate,Douglas,,,,03/27/1928,,M,U.S. Representative,Democrat,OH,18,01/04/1977,01/03/1995,Presbyterian,White,High School graduate,Real Estate,,,,,Did not serve,,
Archer,William,Reynolds,,Bill,03/22/1928,,M,U.S. Representative,Republican,TX,7,01/21/1971,01/03/2003,Roman Catholic,White,Professional degree,Agriculture,Law,,,,Air Force,,
Armstrong,William,Lester,,,03/16/1937,07/05/2016,M,U.S. Senator,Republican,CO,,01/15/1979,01/03/1993,Lutheran,White,High School graduate,Business or banking,,,,,Army National Guard,,
Ashbrook,Jean,S.,,,09/21/1934,,F,U.S. Representative,Republican,OH,17,07/12/1982,01/03/1983,Not specified,White,Bachelor's degree,Misc.,,,,,Did not serve,,
Ashbrook,John,Milan,,,09/21/1928,04/24/1982,M,U.S. Representative,Republican,OH,17,01/03/1961,04/24/1982,Baptist,White,Professional degree,Journalism,Law,,,,Navy,,
Aspin,Les,,,,07/21/1938,05/21/1995,M,U.S. Representative,Democrat,WI,1,01/21/1971,01/20/1993,Episcopalian,White,Doctorate degree,Education,,,,,Army,,
AuCoin,Les,,,,10/21/1942,,M,U.S. Representative,Democrat,OR,1,01/14/1975,01/03/1993,Protestant,White,Bachelor's degree,Journalism,Public service/politics,,,,Army,,
Badham,Robert,Edward,,,06/09/1929,10/21/2005,M,U.S. Representative,Republican,CA,40,01/04/1977,01/03/1989,Lutheran,White,Bachelor's degree,Business or banking,,,,,Navy,,
Bafalis,Louis,Arthur,,,09/28/1929,,M,U.S. Representative,Republican,FL,10,01/03/1973,01/03/1983,Christian,White,Bachelor's degree,Public service/politics,,,,,Army,,
Bailey,Donald,A.,,Don,07/21/1945,,M,U.S. Representative,Democrat,PA,21,01/15/1979,01/03/1983,Presbyterian,White,Professional degree,Law,,,,,Army,,
Bailey,Wendell,,,,07/30/1940,,M,U.S. Representative,Republican,MO,8,01/05/1981,01/03/1983,Baptist,White,Bachelor's degree,Business or banking,,,,,Did not serve,,
Barnard,Doug,,Jr.,,03/20/1922,01/11/2018,M,U.S. Representative,Democrat,GA,10,01/04/1977,01/03/1993,Baptist,White,Bachelor's degree,Business or banking,,,,,Army,,
Barnes,Michael,Darr,,,09/03/1943,,M,U.S. Representative,Democrat,MD,8,01/15/1979,01/03/1987,Protestant,White,Professional degree,Law,,,,,Marine Corps,,
Baucus,Max,Sieben,,,12/11/1941,,M,U.S. Senator,Democrat,MT,,01/15/1979,02/06/2014,United Church of Christ,White,Professional degree,Law,,,,,Did not serve,,
Beard,Robin,Leo,Jr.,,08/21/1939,,M,U.S. Representative,Republican,TN,6,01/03/1973,01/03/1983,Methodist,White,Bachelor's degree,Public service/politics,,,,,Marine Corps,,
Bedell,Berkley,Warren,,,03/05/1921,,M,U.S. Representative,Democrat,IA,6,01/14/1975,01/03/1987,Methodist,White,Bachelor's degree,Business or banking,,,,,Air Force,,
Beilenson,Anthony,Charles,,,10/26/1932,03/05/2017,M,U.S. Representative,Democrat,CA,23,01/04/1977,01/03/1993,Jewish,White,Professional degree,Law,,,,,Did not serve,,
Benedict,Cleveland,Keith,,,03/21/1935,,M,U.S. Representative,Republican,WV,2,01/05/1981,01/03/1983,Episcopalian,White,Bachelor's degree,Agriculture,Business or banking,,,,Did not serve,,
Benjamin,Adam,,Jr.,,08/06/1935,09/07/1982,M,U.S. Representative,Democrat,IN,1,01/04/1977,09/07/1982,Eastern Catholic,White,Professional degree,Education,Law,,,,Army,Marine Corps,Marine Corps
Bennett,Charles,Edward,,,12/02/1910,09/06/2003,M,U.S. Representative,Democrat,FL,3,01/10/1967,01/03/1993,Disciples of Christ,White,Professional degree,Law,Public service/politics,,,,Army,,
Bentsen,Lloyd,Millard,Jr.,,02/11/1921,05/23/2006,M,U.S. Senator,Democrat,TX,,01/21/1971,01/20/1993,Presbyterian,White,Professional degree,Business or banking,Law,,,,Air Force Reserve,Army Air Corps,Army Air Corps
Bereuter,Douglas,Kent,,,10/06/1939,,M,U.S. Representative,Republican,NE,1,01/15/1979,01/03/2005,Lutheran,White,Master's degree,Education,Public service/politics,,,,Army,,
Bethune,Edwin,Ruthvin,Jr.,Ed,12/19/1935,,M,U.S. Representative,Republican,AR,2,01/15/1979,01/03/1985,Methodist,White,Professional degree,Law,Law Enforcement,,,,Marine Corps,,
Bevill,Tom,,,,03/27/1921,03/28/2005,M,U.S. Representative,Democrat,AL,4,01/03/1973,01/03/1997,Baptist,White,Professional degree,Law,,,,,Army,,
Biaggi,Mario,,,,10/26/1917,06/24/2015,M,U.S. Representative,Democrat,NY,10,01/03/1973,01/03/1983,Roman Catholic,White,Professional degree,Law,Law Enforcement,,,,Did not serve,,
