Last,First,Middle,Suffix,Nickname,Born,Death,Sex,Position,Party,State,District,Start,End,Religion,Race,Educational Attainment,JobType1,JobType2,JobType3,JobType4,JobType5,Mil1,Mil2,Mil3
Ackerman,Gary,L.,,,11/19/1942,,M,U.S. Representative,Democrat,NY,5,01/05/1993,01/03/2013,Jewish,White,Bachelor's degree,Business or banking,Education,Journalism,,,Did not serve,,
Adams,Sandy,,,,12/14/1956,,F,U.S. Representative,Republican,FL,24,01/03/2011,01/02/2013,Episcopalian,White,Bachelor's degree,Law Enforcement,,,,,U.S. Air Force,,
Aderholt,Robert,B.,,,07/22/1965,,M,U.S. Representative,Republican,AL,4,01/07/1997,01/03/2019,Protestant,White,Professional degree,Law,Public service/politics,,,,Did not serve,,
Akaka,Daniel,Kahikina,,,09/11/1924,04/06/2018,M,U.S. Senator,Democrat,HI,,05/16/1990,01/02/2013,Congregationalist,Asian American,Master's degree,Education,Public service/politics,,,,Army,,
Akin,W.,Todd,,,07/05/1947,,M,U.S. Representative,Republican,MO,2,01/03/2001,01/03/2013,Christian,White,Master's degree,Education,,,,,Did not serve,,
Alexander,Lamar,,,,07/03/1940,,M,U.S. Senator,Republican,TN,,01/03/2003,01/03/2021,Presbyterian,White,Professional degree,Public service/politics,,,,,Did not serve,,
Alexander,Rodney,,,,12/05/1946,,M,U.S. Representative,Republican,LA,5,08/08/2004,09/27/2013,Baptist,White,High School graduate,Business or banking,Construction/building trades,,,,U.S. Air Force Reserve,,
Altmire,Jason,,,,03/07/1968,,M,U.S. Representative,Democrat,PA,4,01/03/2007,01/03/2013,Roman Catholic,White,Master's degree,Business or banking,,,,,Did not serve,,
Amash,Justin,,,,04/18/1980,,M,U.S. Representative,Republican,MI,3,01/03/2011,01/03/2019,Eastern Orthodox,White,Professional degree,Law,,,,,Did not serve,,
Amodei,Mark,,,,06/12/1958,,M,U.S. Representative,Republican,NV,2,09/13/2011,01/03/2019,Christian,White,Professional degree,Law,,,,,"U.S. Army, Judge Advocate General's Corps officer",,
Andrews,Robert,E.,,,08/04/1957,,M,U.S. Representative,Democrat,NJ,1,01/03/1991,02/18/2014,Episcopalian,White,Professional degree,Education,Law,,,,Did not serve,,
Austria,Steve,,,,10/12/1958,,M,U.S. Representative,Republican,OH,7,01/06/2009,01/03/2013,Roman Catholic,Asian American,Bachelor's degree,Business or banking,,,,,Did not serve,,
Ayotte,Kelly,,,,06/27/1968,,F,U.S. Senator,Republican,NH,,01/03/2011,01/03/2017,Roman Catholic,White,Professional degree,Law,,,,,Did not serve,,
Baca,Joe,,,,01/23/1947,,M,U.S. Representative,Democrat,CA,43,01/03/2003,01/03/2013,Roman Catholic,Hispanic,Bachelor's degree,Business or banking,,,,,Did not serve,,
Bachmann,Michele,,,,04/06/1956,,F,U.S. Representative,Republican,MN,6,01/03/2007,01/03/2015,Evangelical Lutheran,White,Professional degree,Law,,,,,Did not serve,,
Bachus,Spencer,,,,12/28/1947,,M,U.S. Representative,Republican,AL,6,01/05/1993,01/03/2015,Baptist,White,Professional degree,Business or banking,Law,,,,National Guard,,
Baldwin,Tammy,,,,02/11/1962,,F,U.S. Representative,Democrat,WI,2,01/03/1999,01/03/2013,Not specified,White,Professional degree,Law,,,,,Did not serve,,
Barber,Ron,,,,08/25/1945,,M,U.S. Representative,Democrat,AZ,8,06/19/2012,01/02/2013,Roman Catholic,White,Bachelor's degree,Public service/politics,,,,,Did not serve,,
Barletta,Lou,,,,01/28/1956,,M,U.S. Representative,Republican,PA,11,01/03/2011,01/03/2019,Roman Catholic,White,Unknown,Construction/building trades,,,,,Did not serve,,
Barrasso,John,A.,,,07/21/1952,,M,U.S. Senator,Republican,WY,,06/25/2007,01/03/2019,Presbyterian,White,Professional degree,Medicine,,,,,Did not serve,,
Barrow,John,,,,10/31/1955,,M,U.S. Representative,Democrat,GA,12,01/03/2005,01/03/2015,Baptist,White,Professional degree,Law,,,,,Did not serve,,
Bartlett,Roscoe,G.,,,06/03/1926,,M,U.S. Representative,Republican,MD,6,01/05/1993,01/03/2013,Seventh-Day Adventist,White,Doctorate degree,Agriculture,Business or banking,Education,Engineering,Real Estate,Did not serve,,
Barton,Joe,Linus,,,09/15/1949,,M,U.S. Representative,Republican,TX,6,01/03/1985,01/03/2019,Methodist,White,Master's degree,Misc.,Public service/politics,,,,Did not serve,,
Bass,Charles,F.,,,01/08/1952,,M,U.S. Representative,Republican,NH,2,01/03/2011,01/02/2013,Episcopalian,White,Bachelor's degree,Business or banking,Congressional Aide,,,,Did not serve,,
Bass,Karen,,,,10/03/1953,,F,U.S. Representative,Democrat,CA,33,01/03/2011,01/02/2013,Baptist,African American,Bachelor's degree,Medicine,,,,,Did not serve,,
Baucus,Max,Sieben,,,12/11/1941,,M,U.S. Senator,Democrat,MT,,01/15/1979,02/06/2014,United Church of Christ,White,Professional degree,Law,,,,,Did not serve,,
Becerra,Xavier,,,,01/26/1958,,M,U.S. Representative,Democrat,CA,31,01/03/2003,01/03/2013,Roman Catholic,Hispanic,Bachelor's degree,Law,,,,,Did not serve,,
Begich,Mark,,,,03/30/1962,,M,U.S. Senator,Democrat,AK,,01/06/2009,01/03/2015,Roman Catholic,White,Unknown,Construction/building trades,,,,,Did not serve,,
Benishek,Dan,,,,04/20/1952,,M,U.S. Representative,Republican,MI,1,01/03/2011,01/03/2017,Roman Catholic,White,Professional degree,Medicine,,,,,Did not serve,,
Bennet,Michael,F.,,,11/28/1964,,M,U.S. Senator,Democrat,CO,,01/22/2009,01/03/2019,Not specified,White,Bachelor's degree,Education,,,,,Did not serve,,
Berg,Rick,,,,08/16/1959,,M,U.S. Representative,Republican,ND,AL,01/03/2011,01/02/2013,Lutheran,White,Bachelor's degree,Real Estate,,,,,Did not serve,,
Berkley,Shelley,,,,01/20/1951,,F,U.S. Representative,Democrat,NV,1,01/03/1999,01/03/2013,Jewish,White,Professional degree,Law,,,,,Did not serve,,
Berman,Howard,L.,,,04/15/1941,,M,U.S. Representative,Democrat,CA,28,01/03/2001,01/03/2013,Jewish,White,Professional degree,Law,,,,,Did not serve,,
Biden,Joseph,Robinette,Jr.,Joe,11/20/1942,,M,U.S. Vice President,Democrat,,,01/20/2009,01/19/2017,Roman Catholic,White,Professional degree,Law,,,,,Did not serve,,
Biggert,Judith,Borg,,,08/15/1937,,F,U.S. Representative,Republican,IL,13,01/03/1999,01/03/2013,Episcopalian,White,Professional degree,Law,,,,,Did not serve,,
Bilbray,Brian,P.,,,01/28/1951,,M,U.S. Representative,Republican,CA,50,06/13/2006,01/03/2013,Roman Catholic,White,Bachelor's degree,Business or banking,Public service/politics,,,,Did not serve,,
Bilirakis,Gus,M.,,,02/08/1963,,M,U.S. Representative,Republican,FL,9,01/03/2007,01/03/2013,Greek Orthodox,White,Professional degree,Law,,,,,Did not serve,,
Bingaman,Jeff,,,,10/03/1943,,M,U.S. Senator,Democrat,NM,,01/03/1983,01/03/2013,Methodist,White,Professional degree,Law,,,,,Army Reserve,,
Bishop,Robert,,,Rob,07/13/1951,,M,U.S. Representative,Republican,UT,1,01/03/2003,01/03/2019,Mormon,White,Bachelor's degree,Education,,,,,Did not serve,,
Bishop,Sanford,D.,Jr.,,02/04/1947,,M,U.S. Representative,Democrat,GA,2,01/05/1993,01/03/2019,Baptist,African American,Professional degree,Law,,,,,Did not serve,,
Bishop,Timothy,H.,,,06/01/1950,,M,U.S. Representative,Democrat,NY,1,01/03/2003,01/03/2015,Roman Catholic,White,Master's degree,Education,,,,,Did not serve,,
Black,Diane,,,,01/16/1951,,F,U.S. Representative,Republican,TN,6,01/03/2011,01/03/2019,Christian,White,Associate degree,Medicine,,,,,Did not serve,,
Blackburn,Marsha,,,,06/06/1952,,F,U.S. Representative,Republican,TN,7,01/03/2003,01/03/2019,Presbyterian,White,Bachelor's degree,Business or banking,,,,,Did not serve,,
Blumenauer,Earl,,,,08/16/1948,,M,U.S. Representative,Democrat,OR,3,05/21/1996,01/03/2019,Not specified,White,Bachelor's degree,Law,Public service/politics,,,,Did not serve,,
Blumenthal,Richard,,,,02/13/1946,,M,U.S. Senator,Democrat,CT,,01/03/2011,01/03/2023,Jewish,White,Professional degree,Law,,,,,U.S. Marine Corps Reserve,,
Blunt,Roy,,,,01/10/1950,,M,U.S. Senator,Republican,MO,,01/03/2011,01/03/2023,Baptist,White,Master's degree,Education,,,,,Did not serve,,
Boehner,John,A.,,,11/17/1949,,M,U.S. Representative,Republican,OH,8,01/03/1991,10/31/2015,Roman Catholic,White,Bachelor's degree,Business or banking,Public service/politics,,,,Navy,,
Bonamici,Suzanne,,,,10/14/1954,,F,U.S. Representative,Democrat,OR,1,02/07/2012,01/03/2019,Not specified,White,Professional degree,Law,,,,,Did not serve,,
Bonner,Josiah,Robbins,Jr.,Jo,11/19/1959,,M,U.S. Representative,Republican,AL,1,01/03/2003,08/02/2013,Episcopalian,White,Bachelor's degree,Congressional Aide,,,,,Did not serve,,
Bono Mack,Mary,,,,10/24/1961,,F,U.S. Representative,Republican,CA,45,01/03/2003,01/03/2013,Protestant,White,Bachelor's degree,Misc.,Public service/politics,,,,Did not serve,,
Boozman,John,N.,,,12/10/1950,,M,U.S. Senator,Republican,AR,,01/03/2011,01/03/2019,Baptist,White,Professional degree,Medicine,,,,,Did not serve,,
Boren,Dan,,,,08/02/1973,,M,U.S. Representative,Democrat,OK,2,01/03/2005,01/03/2013,Methodist,White,Master's degree,Congressional Aide,,,,,Did not serve,,
Boswell,Leonard,L.,,,01/10/1934,08/17/2018,M,U.S. Representative,Democrat,IA,3,01/07/1997,01/03/2013,Reorganized Church of Jesus Christ of Latter-Day Saints,White,Bachelor's degree,Agriculture,Public service/politics,,,,Army,,
Boustany,Charles,W.,Jr.,,02/21/1956,,M,U.S. Representative,Republican,LA,7,01/03/2005,01/03/2013,Episcopalian,White,Professional degree,Journalism,,,,,Did not serve,,
Boxer,Barbara,,,,11/11/1940,,F,U.S. Senator,Democrat,CA,,01/05/1993,01/03/2017,Jewish,White,Bachelor's degree,Business or banking,Congressional Aide,Journalism,,,Did not serve,,
Brady,Kevin,,,,04/07/1955,,M,U.S. Representative,Republican,TX,8,01/07/1997,01/03/2019,Roman Catholic,White,Bachelor's degree,Business or banking,,,,,Did not serve,,
Brady,Robert,,,,04/07/1945,,M,U.S. Representative,Democrat,PA,1,05/19/1998,01/03/2019,Roman Catholic,White,High School graduate,Construction/building trades,Labor leader,Public service/politics,,,Did not serve,,
Braley,Bruce,,,,10/30/1957,,M,U.S. Representative,Democrat,IA,1,01/03/2007,01/03/2015,Presbyterian,White,Professional degree,Law,,,,,Did not serve,,
Brooks,Mo,,,,04/29/1954,,M,U.S. Representative,Republican,AL,5,01/03/2011,01/03/2019,Christian,White,Professional degree,Law,,,,,Did not serve,,
Broun,Paul,,,,05/14/1946,,M,U.S. Representative,Republican,GA,10,07/25/2007,01/03/2015,Baptist,White,Professional degree,Medicine,,,,,Ga. Air National Guard,Marine Corps Reserve,Naval Reserve
Brown,Corrine,,,,11/11/1946,,F,U.S. Representative,Democrat,FL,3,01/05/1993,01/03/2013,Baptist,African American,Professional degree,Business or banking,Education,,,,Did not serve,,
Brown,Scott,,,,09/12/1959,,M,U.S. Senator,Republican,MA,,02/04/2010,01/03/2013,Christian Reformed,White,Professional degree,Law,,,,,MA Army National Guard,,
Brown,Sherrod,,,,11/09/1952,,M,U.S. Senator,Democrat,OH,,01/03/2007,01/03/2019,Presbyterian,White,Master's degree,Education,,,,,Did not serve,,
Buchanan,Vernon,G.,,Vern,05/08/1951,,M,U.S. Representative,Republican,FL,13,01/03/2007,01/03/2013,Baptist,White,Master's degree,Business or banking,,,,,Mich. Air National Guard,,
Bucshon,Larry,,,,05/31/1962,,M,U.S. Representative,Republican,IN,8,01/03/2011,01/03/2019,Lutheran,White,Professional degree,Medicine,,,,,U.S. Navy Reserve,,
Buerkle,Ann Marie,,,,05/08/1951,,F,U.S. Representative,Republican,NY,25,01/03/2011,01/02/2013,Roman Catholic,White,Professional degree,Law,,,,,Did not serve,,
Burgess,Michael,,,,12/23/1950,,M,U.S. Representative,Republican,TX,26,01/03/2003,01/03/2019,Episcopalian,White,Master's degree,Medicine,,,,,Did not serve,,
Burr,Richard,M.,,,11/30/1955,,M,U.S. Senator,Republican,NC,,01/03/2005,01/03/2019,Methodist,White,Bachelor's degree,Business or banking,,,,,Did not serve,,
Burton,Danny,Lee,,Dan,06/21/1938,,M,U.S. Representative,Republican,IN,5,01/03/2003,01/03/2013,Protestant,White,Unknown,Business or banking,Real Estate,,,,Army,Reserve,Reserve
Butterfield,George,Kenneth,Jr.,,04/27/1947,,M,U.S. Representative,Democrat,NC,1,07/20/2004,01/03/2019,Baptist,African American,Professional degree,Law,,,,,Army,,
Calvert,Ken,,,,06/08/1953,,M,U.S. Representative,Republican,CA,44,01/03/2003,01/03/2013,Protestant,White,Bachelor's degree,Business or banking,Real Estate,,,,Did not serve,,
Camp,Dave,L.,,,07/09/1953,,M,U.S. Representative,Republican,MI,4,01/05/1993,01/03/2015,Roman Catholic,White,Professional degree,Congressional Aide,Law,,,,Did not serve,,
Campbell,John,,,,07/19/1955,,M,U.S. Representative,Republican,CA,48,12/06/2005,01/03/2013,Presbyterian,White,Master's degree,Business or banking,,,,,Did not serve,,
Canseco,Francisco,,,Quico,07/30/1949,,M,U.S. Representative,Republican,TX,23,01/03/2011,01/02/2013,Roman Catholic,Hispanic,Professional degree,Law,,,,,Did not serve,,
Cantor,Eric,I.,,,06/06/1963,,M,U.S. Representative,Republican,VA,7,01/03/2001,08/18/2014,Jewish,White,Professional degree,Real Estate,,,,,Did not serve,,
Cantwell,Maria,E.,,,10/13/1958,,F,U.S. Senator,Democrat,WA,,01/03/2001,01/03/2019,Roman Catholic,White,Bachelor's degree,Misc.,,,,,Did not serve,,
Capito,Shelley,Moore,,,11/26/1953,,F,U.S. Representative,Republican,WV,2,01/03/2001,01/03/2015,Presbyterian,White,Master's degree,Education,,,,,Did not serve,,
Capps,Lois,,,,01/10/1938,,F,U.S. Representative,Democrat,CA,23,01/03/2001,01/03/2013,Lutheran,White,Master's degree,Education,Medicine,,,,Did not serve,,
Capuano,Michael,Everett,,,01/09/1952,,M,U.S. Representative,Democrat,MA,8,01/03/1999,01/03/2013,Roman Catholic,White,Professional degree,Law,,,,,Did not serve,,
Cardin,Benjamin,L.,,,10/05/1943,,M,U.S. Senator,Democrat,MD,,01/03/2007,01/03/2019,Jewish,White,Professional degree,Law,,,,,Did not serve,,
Cardoza,Dennis,A.,,,03/21/1959,,M,U.S. Representative,Democrat,CA,18,01/03/2003,08/15/2012,Roman Catholic,White,Bachelor's degree,Real Estate,,,,,Did not serve,,
Carnahan,Russ,,,,07/10/1958,,M,U.S. Representative,Democrat,MO,3,01/03/2005,01/03/2013,Methodist,White,Professional degree,Congressional Aide,Law,,,,Did not serve,,
Carney,John,,Jr.,,05/20/1956,,M,U.S. Representative,Democrat,DE,AL,01/03/2011,01/03/2017,Roman Catholic,White,Master's degree,Public service/politics,,,,,Did not serve,,
Carper,Thomas,Richard,,,01/23/1947,,M,U.S. Senator,Democrat,DE,,01/03/2001,01/03/2019,Presbyterian,White,Master's degree,Public service/politics,,,,,Navy,Reserve,
