Last,First,Middle,Suffix,Nickname,Born,Death,Sex,Position,Party,State,District,Start,End,Religion,Race,Educational Attainment,JobType1,JobType2,JobType3,JobType4,JobType5,Mil1,Mil2,Mil3
Abbitt,Watkins,Moorman,,,05/21/1908,12/19/1951,M,U.S. Representative,Democrat,VA,4,02/17/1948,01/03/1973,Baptist,White,Professional degree,Law,,,,,Did not serve,,
Abernethy,Thomas,Gerstle,,,05/16/1903,01/23/1953,M,U.S. Representative,Democrat,MS,1,01/03/1953,01/03/1973,Methodist,White,Professional degree,Law,,,,,Did not serve,,
Adair,Edwin,Ross,,,12/14/1907,05/05/1983,M,U.S. Representative,Republican,IN,4,01/03/1951,01/03/1972,Methodist,White,Professional degree,Public service/politics,,,,,Army,,
Addonizio,Hugh,Joseph,,,01/31/1914,02/02/1981,M,U.S. Representative,Democrat,NJ,11,01/03/1949,06/30/1962,Roman Catholic,White,Bachelor's degree,Business or banking,,,,,Army,,
Aiken,George,David,,,08/20/1892,11/19/1984,M,U.S. Senator,Republican,VT,,01/03/1945,01/03/1979,Protestant,White,High School graduate,Agriculture,Misc.,,,,Did not serve,,
Albert,Carl,Bert,,,05/10/1908,02/04/2000,M,U.S. Representative,Democrat,OK,3,01/03/1947,01/03/1977,Methodist,White,Professional degree,Law,,,,,Army,,
Alexander,Hugh,Quincy,,,08/07/1911,09/17/1989,M,U.S. Representative,Democrat,NC,9,01/03/1953,01/03/1963,Presbyterian,White,Professional degree,Law,,,,,Navy,,
Alger,Bruce,Reynolds,,,06/12/1918,04/13/2015,M,U.S. Representative,Republican,TX,5,01/05/1955,01/03/1965,Disciples of Christ,White,Bachelor's degree,Construction/building trades,Real Estate,,,,Army Air Corps,,
Allen,John,Joseph,Jr.,,11/27/1899,03/07/1995,M,U.S. Representative,Republican,CA,7,01/03/1947,01/03/1959,Not specified,White,Professional degree,Law,,,,,Navy,,
Allen,Leo,Elwood,,,10/05/1898,01/19/1973,M,U.S. Representative,Republican,IL,16,01/03/1949,01/03/1961,Presbyterian,White,Professional degree,Law,,,,,Army,,
Allott,Gordon,Llewellyn,,,01/02/1907,01/17/1989,M,U.S. Senator,Republican,CO,,01/05/1955,01/03/1973,Episcopalian,White,Professional degree,Law,,,,,Army Air Corps,,
Andersen,Herman,Carl,,,01/27/1897,07/26/1978,M,U.S. Representative,Republican,MN,7,01/03/1945,01/03/1963,Lutheran,White,Unknown,Agriculture,,,,,Did not serve,,
Anderson,Clinton,Presba,,,10/23/1895,11/11/1975,M,U.S. Senator,Democrat,NM,,01/03/1949,01/03/1973,Presbyterian,White,Unknown,Agriculture,Business or banking,Journalism,,,Did not serve,,
Anderson,LeRoy,Hagen,,,02/02/1906,09/25/1991,M,U.S. Representative,Democrat,MT,2,01/03/1957,01/03/1961,Presbyterian,White,Bachelor's degree,Agriculture,,,,,Army,Army Reserve,
Andresen,August,Herman,,,10/11/1890,01/14/1958,M,U.S. Representative,Republican,MN,1,01/03/1945,01/14/1958,Not specified,White,Professional degree,Agriculture,Business or banking,,,,Home Guards-Minnesota,,
Andrews,George,William,,,12/12/1906,12/25/1971,M,U.S. Representative,Democrat,AL,3,03/14/1944,01/03/1963,Baptist,White,Professional degree,Law,,,,,Navy Reserve,,
Anfuso,Victor,L&apos;Episcopo,,,03/10/1905,12/28/1966,M,U.S. Representative,Democrat,NY,8,01/03/1951,01/03/1963,Roman Catholic,White,Professional degree,Law,,,,,Army,,
Arends,Leslie,Cornelius,,,09/27/1895,07/17/1985,M,U.S. Representative,Republican,IL,17,01/03/1945,01/02/1973,Methodist,White,High School graduate,Agriculture,Business or banking,,,,Navy,,
Ashley,Thomas,William Ludlow,,,01/11/1923,,M,U.S. Representative,Democrat,OH,9,01/05/1955,01/03/1981,Episcopalian,White,Professional degree,Law,,,,,Army,,
Ashmore,Robert,Thomas,,,02/22/1904,10/04/1989,M,U.S. Representative,Democrat,SC,4,06/15/1953,01/03/1969,Baptist,White,Professional degree,Law,,,,,Army,Reserve,
Aspinall,Wayne,Norviel,,,04/03/1896,10/09/1983,M,U.S. Representative,Democrat,CO,4,01/03/1949,01/03/1973,Methodist,White,Professional degree,Education,Law,,,,Army,,
Auchincloss,James,Coats,,,01/19/1885,10/02/1976,M,U.S. Representative,Republican,NJ,3,01/03/1945,01/03/1965,Protestant,White,Bachelor's degree,Business or banking,,,,,National Guard-New York,,
Avery,William,Henry,,,08/11/1911,,M,U.S. Representative,Republican,KS,1,01/05/1955,01/08/1963,Methodist,White,Bachelor's degree,Agriculture,Business or banking,,,,Did not serve,,
Ayres,William,Hanes,,,02/05/1916,12/20/2000,M,U.S. Representative,Republican,OH,14,01/03/1951,01/03/1972,Methodist,White,Bachelor's degree,Business or banking,,,,,Army,,
Bailey,Cleveland,Monroe,,,07/15/1886,07/13/1965,M,U.S. Representative,Democrat,WV,3,01/03/1949,01/03/1963,Baptist,White,Bachelor's degree,Education,Public service/politics,,,,Did not serve,,
Baker,Howard,Henry,Sr.,,01/12/1902,01/07/1964,M,U.S. Representative,Republican,TN,2,01/03/1951,01/07/1964,Presbyterian,White,Professional degree,Business or banking,Journalism,Law,,,Did not serve,,
Baldwin,John,Finley,Jr.,,06/28/1915,03/09/1966,M,U.S. Representative,Republican,CA,6,01/05/1955,01/08/1963,Presbyterian,White,Professional degree,Law,,,,,Army,,
Barden,Graham,Arthur,,,09/25/1896,01/29/1967,M,U.S. Representative,Democrat,NC,3,01/03/1945,01/03/1961,Presbyterian,White,Professional degree,Law,,,,,Navy,,
Baring,Walter,Stephen,,,09/09/1911,07/13/1975,M,U.S. Representative,Democrat,NV,AL,01/03/1957,01/03/1973,Protestant,White,Bachelor's degree,Business or banking,,,,,Navy,,
Barrett,Frank,A.,,,11/10/1892,05/30/1962,M,U.S. Senator,Republican,WY,,01/03/1953,01/03/1959,Not specified,White,Professional degree,Agriculture,Law,,,,Army,,
Barrett,William,A.,,,08/14/1896,04/12/1976,M,U.S. Representative,Democrat,PA,1,01/03/1949,04/12/1976,Roman Catholic,White,Bachelor's degree,Business or banking,Real Estate,,,,Did not serve,,
Bass,Perkins,,,,10/06/1912,,M,U.S. Representative,Republican,NH,2,01/05/1955,01/03/1963,Episcopalian,White,Professional degree,Law,,,,,Army,,
Bass,Ross,,,,03/17/1918,01/01/1993,M,U.S. Representative,Democrat,TN,6,01/05/1955,11/03/1964,Methodist,White,Bachelor's degree,Business or banking,,,,,Army,,
Bates,William,Henry,,,04/26/1917,06/22/1969,M,U.S. Representative,Republican,MA,6,02/14/1950,06/22/1969,Roman Catholic,White,Master's degree,Public service/politics,,,,,Navy,,
Baumhart,Albert,David,Jr.,,06/15/1908,01/23/2001,M,U.S. Representative,Republican,OH,13,01/05/1955,01/03/1961,Congregationalist,White,Master's degree,Public service/politics,,,,,Navy,,
Beall,James,Glenn,,,06/05/1894,01/14/1971,M,U.S. Senator,Republican,MD,,01/03/1953,01/03/1965,Episcopalian,White,Bachelor's degree,Business or banking,Real Estate,,,,Army,,
Beamer,John,Valentine,,,11/17/1896,09/08/1964,M,U.S. Representative,Republican,IN,5,01/03/1951,01/03/1959,Presbyterian,White,Bachelor's degree,Agriculture,Business or banking,,,,Army,,
Becker,Frank,John,,,08/27/1899,09/04/1981,M,U.S. Representative,Republican,NY,3,01/03/1953,01/03/1963,Roman Catholic,White,High School graduate,Business or banking,,,,,Army,,
