Last,First,Middle,Suffix,Nickname,Born,Death,Sex,Position,Party,State,District,Start,End,Religion,Race,Educational Attainment,JobType1,JobType2,JobType3,JobType4,JobType5,Mil1,Mil2,Mil3
Abercrombie,Neil,,,,06/26/1938,,M,U.S. Representative,Democrat,HI,1,01/03/1991,02/28/2010,Not specified,White,Doctorate degree,Education,,,,,Did not serve,,
Ackerman,Gary,L.,,,11/19/1942,,M,U.S. Representative,Democrat,NY,5,01/05/1993,01/03/2013,Jewish,White,Bachelor's degree,Business or banking,Education,Journalism,,,Did not serve,,
Aderholt,Robert,B.,,,07/22/1965,,M,U.S. Representative,Republican,AL,4,01/07/1997,01/03/2019,Protestant,White,Professional degree,Law,Public service/politics,,,,Did not serve,,
Akaka,Daniel,Kahikina,,,09/11/1924,04/06/2018,M,U.S. Senator,Democrat,HI,,05/16/1990,01/02/2013,Congregationalist,Asian American,Master's degree,Education,Public service/politics,,,,Army,,
Akin,W.,Todd,,,07/05/1947,,M,U.S. Representative,Republican,MO,2,01/03/2001,01/03/2013,Christian,White,Master's degree,Education,,,,,Did not serve,,
Alexander,Lamar,,,,07/03/1940,,M,U.S. Senator,Republican,TN,,01/03/2003,01/03/2021,Presbyterian,White,Professional degree,Public service/politics,,,,,Did not serve,,
Alexander,Rodney,,,,12/05/1946,,M,U.S. Representative,Democrat,LA,5,01/03/2003,08/08/2004,Baptist,White,High School graduate,Business or banking,Construction/building trades,,,,U.S. Air Force Reserve,,
Alexander,Rodney,,,,12/05/1946,,M,U.S. Representative,Republican,LA,5,08/08/2004,09/27/2013,Baptist,White,High School graduate,Business or banking,Construction/building trades,,,,U.S. Air Force Reserve,,
Allard,Wayne,,,,12/02/1943,,M,U.S. Senator,Republican,CO,,01/07/1997,01/05/2009,Protestant,White,Professional degree,Medicine,,,,,Did not serve,,
Allen,George,F.,,,03/08/1952,,M,U.S. Senator,Republican,VA,,01/03/2001,01/03/2007,Presbyterian,White,Bachelor's degree,Law,,,,,Did not serve,,
Allen,Thomas,,,Tom,04/16/1945,,M,U.S. Representative,Democrat,ME,1,01/07/1997,01/05/2009,Protestant,White,Professional degree,Congressional Aide,Law,Public service/politics,,,Did not serve,,
Andrews,Robert,E.,,,08/04/1957,,M,U.S. Representative,Democrat,NJ,1,01/03/1991,02/18/2014,Episcopalian,White,Professional degree,Education,Law,,,,Did not serve,,
Baca,Joe,,,,01/23/1947,,M,U.S. Representative,Democrat,CA,43,01/03/2003,01/03/2013,Roman Catholic,Hispanic,Bachelor's degree,Business or banking,,,,,Did not serve,,
Bachus,Spencer,,,,12/28/1947,,M,U.S. Representative,Republican,AL,6,01/05/1993,01/03/2015,Baptist,White,Professional degree,Business or banking,Law,,,,National Guard,,
Baird,Brian,,,,03/07/1956,,M,U.S. Representative,Democrat,WA,3,01/03/1999,01/03/2011,Protestant,White,Doctorate degree,Education,Medicine,,,,Did not serve,,
Baker,Richard,H.,,,05/22/1948,,M,U.S. Representative,Republican,LA,6,01/06/1987,02/02/2008,Methodist,White,Bachelor's degree,Real Estate,,,,,Did not serve,,
Baldwin,Tammy,,,,02/11/1962,,F,U.S. Representative,Democrat,WI,2,01/03/1999,01/03/2013,Not specified,White,Professional degree,Law,,,,,Did not serve,,
Ballance,Frank,W.,Jr.,,02/15/1942,,M,U.S. Representative,Democrat,NC,1,01/03/2003,01/02/2005,Baptist,African American,Professional degree,Education,Law,,,,NC National Guard and Reserve,,
Barrett,James,Gresham,,Gresham,02/14/1961,,M,U.S. Representative,Republican,SC,3,01/03/2003,01/03/2011,Baptist,White,Bachelor's degree,Business or banking,,,,,U.S. Army,,
Bartlett,Roscoe,G.,,,06/03/1926,,M,U.S. Representative,Republican,MD,6,01/05/1993,01/03/2013,Seventh-Day Adventist,White,Doctorate degree,Agriculture,Business or banking,Education,Engineering,Real Estate,Did not serve,,
Barton,Joe,Linus,,,09/15/1949,,M,U.S. Representative,Republican,TX,6,01/03/1985,01/03/2019,Methodist,White,Master's degree,Misc.,Public service/politics,,,,Did not serve,,
Bass,Charles,F.,,,01/08/1952,,M,U.S. Representative,Republican,NH,2,01/04/1995,01/03/2007,Episcopalian,White,Bachelor's degree,Business or banking,Congressional Aide,,,,Did not serve,,
Baucus,Max,Sieben,,,12/11/1941,,M,U.S. Senator,Democrat,MT,,01/15/1979,02/06/2014,United Church of Christ,White,Professional degree,Law,,,,,Did not serve,,
Bayh,Evan,,,,12/26/1955,,M,U.S. Senator,Democrat,IN,,01/03/1999,01/03/2011,Episcopalian,White,Professional degree,Law,,,,,Did not serve,,
Beauprez,Bob,,,,09/22/1948,,M,U.S. Representative,Republican,CO,7,01/03/2003,01/03/2007,Roman Catholic,White,Bachelor's degree,Business or banking,,,,,Did not serve,,
Becerra,Xavier,,,,01/26/1958,,M,U.S. Representative,Democrat,CA,31,01/03/2003,01/03/2013,Roman Catholic,Hispanic,Bachelor's degree,Law,,,,,Did not serve,,
Bell,Chris,,,Chris,11/23/1959,,M,U.S. Representative,Democrat,TX,25,01/03/2003,01/03/2005,Episcopalian,White,Professional degree,Business or banking,Journalism,Law,,,Did not serve,,
Bennett,Robert,F.,,,09/18/1933,05/04/2016,M,U.S. Senator,Republican,UT,,01/05/1993,01/03/2011,Mormon,White,Bachelor's degree,Business or banking,Congressional Aide,Misc.,,,National Guard,,
Bereuter,Douglas,Kent,,,10/06/1939,,M,U.S. Representative,Republican,NE,1,01/15/1979,01/03/2005,Lutheran,White,Master's degree,Education,Public service/politics,,,,Army,,
Berkley,Shelley,,,,01/20/1951,,F,U.S. Representative,Democrat,NV,1,01/03/1999,01/03/2013,Jewish,White,Professional degree,Law,,,,,Did not serve,,
Berman,Howard,L.,,,04/15/1941,,M,U.S. Representative,Democrat,CA,28,01/03/2001,01/03/2013,Jewish,White,Professional degree,Law,,,,,Did not serve,,
Berry,Marion,,,,08/27/1942,,M,U.S. Representative,Democrat,AR,1,01/07/1997,01/03/2011,Methodist,White,Bachelor's degree,Agriculture,Public service/politics,,,,Did not serve,,
Biden,Joseph,Robinette,Jr.,Joe,11/20/1942,,M,U.S. Senator,Democrat,DE,,01/03/1973,01/15/2009,Roman Catholic,White,Professional degree,Law,,,,,Did not serve,,
Biggert,Judith,Borg,,,08/15/1937,,F,U.S. Representative,Republican,IL,13,01/03/1999,01/03/2013,Episcopalian,White,Professional degree,Law,,,,,Did not serve,,
Bilirakis,Michael,,,,07/16/1930,,M,U.S. Representative,Republican,FL,9,01/03/1983,01/03/2007,Greek Orthodox,White,Professional degree,Business or banking,Engineering,Law,,,Air Force,,
Bingaman,Jeff,,,,10/03/1943,,M,U.S. Senator,Democrat,NM,,01/03/1983,01/03/2013,Methodist,White,Professional degree,Law,,,,,Army Reserve,,
Bishop,Robert,,,Rob,07/13/1951,,M,U.S. Representative,Republican,UT,1,01/03/2003,01/03/2019,Mormon,White,Bachelor's degree,Education,,,,,Did not serve,,
Bishop,Sanford,D.,Jr.,,02/04/1947,,M,U.S. Representative,Democrat,GA,2,01/05/1993,01/03/2019,Baptist,African American,Professional degree,Law,,,,,Did not serve,,
Bishop,Timothy,H.,,,06/01/1950,,M,U.S. Representative,Democrat,NY,1,01/03/2003,01/03/2015,Roman Catholic,White,Master's degree,Education,,,,,Did not serve,,
Blackburn,Marsha,,,,06/06/1952,,F,U.S. Representative,Republican,TN,7,01/03/2003,01/03/2019,Presbyterian,White,Bachelor's degree,Business or banking,,,,,Did not serve,,
Blumenauer,Earl,,,,08/16/1948,,M,U.S. Representative,Democrat,OR,3,05/21/1996,01/03/2019,Not specified,White,Bachelor's degree,Law,Public service/politics,,,,Did not serve,,
Blunt,Roy,,,,01/10/1950,,M,U.S. Representative,Republican,MO,7,01/07/1997,01/03/2011,Baptist,White,Master's degree,Education,,,,,Did not serve,,
Boehlert,Sherwood,L.,,,09/28/1936,,M,U.S. Representative,Republican,NY,24,01/03/2003,01/03/2007,Roman Catholic,White,Bachelor's degree,Business or banking,Congressional Aide,,,,Army,,
Boehner,John,A.,,,11/17/1949,,M,U.S. Representative,Republican,OH,8,01/03/1991,10/31/2015,Roman Catholic,White,Bachelor's degree,Business or banking,Public service/politics,,,,Navy,,
Bond,Christopher,S.,,Kit,03/06/1939,,M,U.S. Senator,Republican,MO,,01/06/1987,01/03/2011,Presbyterian,White,Professional degree,Law,,,,,Did not serve,,
Bonilla,Henry,,,,01/02/1954,,M,U.S. Representative,Republican,TX,23,01/05/1993,01/03/2007,Baptist,Hispanic,Bachelor's degree,Business or banking,Journalism,Misc.,,,Did not serve,,
Bonner,Josiah,Robbins,Jr.,Jo,11/19/1959,,M,U.S. Representative,Republican,AL,1,01/03/2003,08/02/2013,Episcopalian,White,Bachelor's degree,Congressional Aide,,,,,Did not serve,,
Bono Mack,Mary,,,,10/24/1961,,F,U.S. Representative,Republican,CA,45,01/03/2003,01/03/2013,Protestant,White,Bachelor's degree,Misc.,Public service/politics,,,,Did not serve,,
Boozman,John,N.,,,12/10/1950,,M,U.S. Representative,Republican,AR,3,11/20/2001,01/02/2011,Baptist,White,Professional degree,Medicine,,,,,Did not serve,,
Boswell,Leonard,L.,,,01/10/1934,08/17/2018,M,U.S. Representative,Democrat,IA,3,01/07/1997,01/03/2013,Reorganized Church of Jesus Christ of Latter-Day Saints,White,Bachelor's degree,Agriculture,Public service/politics,,,,Army,,
Boucher,Frederick,C.,,Rick,08/01/1946,,M,U.S. Representative,Democrat,VA,9,01/03/1983,01/03/2011,Methodist,White,Professional degree,Law,,,,,Did not serve,,
Boxer,Barbara,,,,11/11/1940,,F,U.S. Senator,Democrat,CA,,01/05/1993,01/03/2017,Jewish,White,Bachelor's degree,Business or banking,Congressional Aide,Journalism,,,Did not serve,,
Boyd,F.,Allen,Jr.,Allen,06/06/1945,,M,U.S. Representative,Democrat,FL,2,01/07/1997,01/03/2011,Methodist,White,Bachelor's degree,Agriculture,Public service/politics,,,,Army,,
Bradley,Jeb,E.,,,10/20/1952,,M,U.S. Representative,Republican,NH,1,01/03/2003,01/03/2007,Protestant,White,Bachelor's degree,Business or banking,,,,,Did not serve,,
Brady,Kevin,,,,04/07/1955,,M,U.S. Representative,Republican,TX,8,01/07/1997,01/03/2019,Roman Catholic,White,Bachelor's degree,Business or banking,,,,,Did not serve,,
Brady,Robert,,,,04/07/1945,,M,U.S. Representative,Democrat,PA,1,05/19/1998,01/03/2019,Roman Catholic,White,High School graduate,Construction/building trades,Labor leader,Public service/politics,,,Did not serve,,
Breaux,John,B.,,,03/01/1944,,M,U.S. Senator,Democrat,LA,,01/06/1987,01/03/2005,Roman Catholic,White,Professional degree,Congressional Aide,Law,,,,Did not serve,,
Brown,Corrine,,,,11/11/1946,,F,U.S. Representative,Democrat,FL,3,01/05/1993,01/03/2013,Baptist,African American,Professional degree,Business or banking,Education,,,,Did not serve,,
Brown,Henry,,Jr.,,12/20/1935,,M,U.S. Representative,Republican,SC,1,01/03/2001,01/03/2011,Baptist,White,High School graduate,,,,,,Did not serve,,
Brown,Sherrod,,,,11/09/1952,,M,U.S. Representative,Democrat,OH,13,01/05/1993,01/03/2007,Presbyterian,White,Master's degree,Education,,,,,Did not serve,,
Brownback,Sam,,,,09/12/1956,,M,U.S. Senator,Republican,KS,,11/27/1996,01/03/2011,Methodist,White,Professional degree,Education,Journalism,Law,Public service/politics,,Did not serve,,
Brown-Waite,Virginia,,,Ginny,10/05/1943,,F,U.S. Representative,Republican,FL,5,01/03/2003,01/03/2011,Roman Catholic,White,Master's degree,Education,,,,,Did not serve,,
Bunning,James,Paul David,,Jim,10/23/1931,05/26/2017,M,U.S. Senator,Republican,KY,,01/03/1999,01/03/2011,Roman Catholic,White,Bachelor's degree,Business or banking,Sports,,,,Did not serve,,
Burgess,Michael,,,,12/23/1950,,M,U.S. Representative,Republican,TX,26,01/03/2003,01/03/2019,Episcopalian,White,Master's degree,Medicine,,,,,Did not serve,,
Burns,Conrad,,,,01/25/1935,04/28/2016,M,U.S. Senator,Republican,MT,,01/03/1989,01/02/2007,Lutheran,White,High School graduate,Business or banking,,,,,Marine Corps,,
Burns,Max,,,Max,11/08/1948,,M,U.S. Representative,Republican,GA,12,01/03/2003,01/03/2005,Not specified,White,Doctorate degree,,,,,,U.S. Army Reserve,,
Burr,Richard,M.,,,11/30/1955,,M,U.S. Representative,Republican,NC,5,01/04/1995,01/03/2005,Methodist,White,Bachelor's degree,Business or banking,,,,,Did not serve,,
Burton,Danny,Lee,,Dan,06/21/1938,,M,U.S. Representative,Republican,IN,5,01/03/2003,01/03/2013,Protestant,White,Unknown,Business or banking,Real Estate,,,,Army,Reserve,Reserve
Butterfield,George,Kenneth,Jr.,,04/27/1947,,M,U.S. Representative,Democrat,NC,1,07/20/2004,01/03/2019,Baptist,African American,Professional degree,Law,,,,,Army,,
Buyer,Stephen,Earle,,Steve,11/26/1958,,M,U.S. Representative,Republican,IN,4,01/03/2003,01/03/2011,Methodist,White,Professional degree,Law,,,,,Army,Army Reserve,
